d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53  10  43      0         0   9 00000001100110100100010101 LHS cornelians cornelians
 2  53  13  40      0         0   9 00000001100110100100010101 LHS nelians    roc       
 3  53  15  38      0         0   9 00000001100110100100010101 LHS lians      en        
 4  53  20  33      0         0   9 00000001100110100100010101 NIL NIL        snail     
 5  65  27  38      0         0  10 00000001100111100100010101 LHS simlins    simlins   
 6  65  30  35      0         0  10 00000001100111100100010101 LHS lins       mis       
 7  65  33  32      0         0  10 00000001100111100100010101 LHS s          nil       
 8  75  40  35      0         0  11 00010001100111100100010101 RHS wooler     woolers   
 9  75  42  33      0         0  11 00010001100111100100010101 RHS wool       re        
10  75  45  30      0         0  11 00010001100111100100010101 RHS w          loo       
11  89  54  35      0         0  12 00010011100111100100010101 LHS itticism   witticism 
12  89  56  33      0         0  12 00010011100111100100010101 LHS ticism     ti        
13  89  58  31      0         0  12 00010011100111100100010101 LHS cism       it        
14  89  61  28      0         0  12 00010011100111100100010101 LHS m          sic       
15 101  70  31      0         0  14 00010011100111100111010101 RHS histogra   histogram 
16 101  72  29      0         0  14 00010011100111100111010101 RHS histog     ar        
17 101  75  26      0         0  14 00010011100111100111010101 RHS his        got       
18 101  77  24      0         0  14 00010011100111100111010101 RHS h          si        
19 111  83  28      0         0  14 00010011100111100111010101 LHS osels      hosels    
20 111  85  26      0         0  14 00010011100111100111010101 LHS els        so        
21 115  91  24      0         0  15 00010111100111100111010101 RHS tus        tussle    
22 121  97  24      0         0  15 00010111100111100111010101 LHS tas        suttas    
23 121  99  22      0         0  15 00010111100111100111010101 LHS s          at        
24 129 104  25      0         0  15 00010111100111100111010101 RHS tres       tress     
25 129 107  22      0         0  15 00010111100111100111010101 RHS t          ser       
26 131 110  21      0         0  16 01010111100111100111010101 LHS ry         try       
27 139 116  23      0         0  16 01010111100111100111010101 RHS mart       martyr    
28 141 122  19      0         0  17 01010111101111100111010101 LHS ps         tramps    
29 145 126  19      0         0  17 01010111101111100111010101 RHS wi         wisp      
30 149 130  19      0         0  17 01010111101111100111010101 LHS is         iwis      
31 155 135  20      0         0  17 01010111101111100111010101 RHS tor        torsi     
