d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  51  13  38      0         0  13 01000111100110100100011011 LHS subordinately subordinately
 2  51  15  36      0         0  13 01000111100110100100011011 LHS bordinately us        
 3  51  18  33      0         0  13 01000111100110100100011011 LHS dinately   rob       
 4  51  20  31      0         0  13 01000111100110100100011011 LHS nately     id        
 5  51  23  28      0         0  13 01000111100110100100011011 LHS ely        tan       
 6  51  27  24      0         0  14 01010111100110100100011011 RHS w          wyle      
 7  53  31  22      0         0  16 01010111101110100110011011 LHS hap        whap      
 8  53  34  19      0         0  16 01010111101110100110011011 NIL NIL        pah       
 9  55  38  17      0         0  19 01010111101111110110011111 LHS mack       mack      
10  55  41  14      0         0  19 01010111101111110110011111 LHS k          cam       
