d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   5  48      0         0   4 00000010001100000000010000 LHS topee      topee     
 2  53   8  45      0         0   4 00000010001100000000010000 LHS ee         pot       
 3  53  11  42      0         0   5 00010010001100000000010000 RHS w          wee       
 4  55  15  40      0         0   7 00010010101110000000010000 LHS orn        worn      
 5  57  20  37      0         0   8 00010010101110000001010000 RHS ge         genro     
 6  59  23  36      0         0   8 00010010101110000001010000 LHS o          ego       
 7  65  29  36      0         0  10 00010010101111000001010001 RHS tomat      tomato    
 8  65  31  34      0         0  10 00010010101111000001010001 RHS tom        ta        
 9  67  37  30      0         0  12 01010010101111100001010001 LHS ley        motley    
10  67  39  28      0         0  12 01010010101111100001010001 LHS y          el        
11  79  49  30      0         0  15 01011010101111100101010011 RHS lovabilit  lovability
12  79  51  28      0         0  15 01011010101111100101010011 RHS lovabil    ti        
13  79  53  26      0         0  15 01011010101111100101010011 RHS lovab      li        
14  79  55  24      0         0  15 01011010101111100101010011 RHS lov        ba        
15  85  61  24      0         0  15 01011010101111100101010011 LHS ley        volley    
16  85  63  22      0         0  15 01011010101111100101010011 LHS y          el        
17 103  74  29      0         0  16 01011011101111100101010011 RHS personalit personality
18 103  76  27      0         0  16 01011011101111100101010011 RHS personal   ti        
19 103  78  25      0         0  16 01011011101111100101010011 RHS person     la        
20 103  81  22      0         0  16 01011011101111100101010011 RHS per        nos       
21 121  96  25      0         0  19 01011111101111100101011111 LHS roducibility reproducibility
22 121  98  23      0         0  19 01011111101111100101011111 LHS ducibility or        
23 121 101  20      0         0  19 01011111101111100101011111 LHS ibility    cud       
24 121 103  18      0         0  19 01011111101111100101011111 LHS ility      bi        
25 121 105  16      0         0  19 01011111101111100101011111 LHS ity        li        
26 121 107  14      0         0  19 01011111101111100101011111 LHS y          ti        
27 133 114  19      0         0  19 01011111101111100101011111 RHS ruttil     ruttily   
28 133 117  16      0         0  19 01011111101111100101011111 RHS rut        lit       
29 139 124  15      0         0  20 01011111101111100101111111 LHS fing       turfing   
30 139 126  13      0         0  20 01011111101111100101111111 LHS ng         if        
31 147 132  15      0         0  20 01011111101111100101111111 RHS repu       repugn    
32 147 134  13      0         0  20 01011111101111100101111111 RHS re         up        
33 161 143  18      0         0  20 01011111101111100101111111 LHS ratical    erratical 
34 161 145  16      0         0  20 01011111101111100101111111 LHS tical      ar        
35 161 147  14      0         0  20 01011111101111100101111111 LHS cal        it        
36 161 150  11      0         0  20 01011111101111100101111111 NIL NIL        lac       
37 177 158  19      0         0  20 01011111101111100101111111 LHS borating   borating  
38 177 161  16      0         0  20 01011111101111100101111111 LHS ating      rob       
39 177 163  14      0         0  20 01011111101111100101111111 LHS ing        ta        
40 181 168  13      0         0  20 01011111101111100101111111 RHS se         segni     
41 195 177  18      0         0  20 01011111101111100101111111 LHS sonites    essonites 
42 195 179  16      0         0  20 01011111101111100101111111 LHS nites      os        
43 195 181  14      0         0  20 01011111101111100101111111 LHS tes        in        
44 205 189  16      0         0  20 01011111101111100101111111 RHS super      superset  
45 205 192  13      0         0  20 01011111101111100101111111 RHS su         rep       
46 211 197  14      0         0  20 01011111101111100101111111 LHS nea        usnea     
47 211 199  12      0         0  20 01011111101111100101111111 LHS a          en        
48 225 207  18      0         0  20 01011111101111100101111111 RHS viewdat    viewdata  
49 225 210  15      0         0  20 01011111101111100101111111 RHS view       tad       
50 225 212  13      0         0  20 01011111101111100101111111 RHS vi         we        
51 231 217  14      0         0  20 01011111101111100101111111 LHS ies        ivies     
52 231 220  11      0         0  20 01011111101111100101111111 NIL NIL        sei       
52 231 220  11      0         0  20 01011111101111100101111111 NIL NIL        sei       
53 251 230  21      0         0  20 01011111101111100101111111 LHS unrecorded unrecorded
54 251 232  19      0         0  20 01011111101111100101111111 LHS recorded   nu        
55 251 234  17      0         0  20 01011111101111100101111111 LHS corded     er        
56 251 237  14      0         0  20 01011111101111100101111111 LHS ded        roc       
57 261 245  16      0         0  20 01011111101111100101111111 RHS depen      depended  
58 261 247  14      0         0  20 01011111101111100101111111 RHS dep        ne        
59 271 255  16      0         0  20 01011111101111100101111111 LHS alfer      pedalfer  
60 271 257  14      0         0  20 01011111101111100101111111 LHS fer        la        
61 271 259  12      0         0  20 01011111101111100101111111 LHS r          ef        
62 279 264  15      0         0  20 01011111101111100101111111 RHS luna       lunar     
63 279 266  13      0         0  20 01011111101111100101111111 RHS lu         an        
64 285 271  14      0         0  20 01011111101111100101111111 LHS nas        ulnas     
65 295 279  16      0         0  20 01011111101111100101111111 RHS barti      bartisan  
66 295 281  14      0         0  20 01011111101111100101111111 RHS bar        it        
67 299 286  13      0         0  20 01011111101111100101111111 LHS bi         rabbi     
68 301 289  12      0         0  20 01011111101111100101111111 RHS s          sib       
68 301 289  12      0         0  20 01011111101111100101111111 RHS s          sib       
69 319 299  20      0         0  20 01011111101111100101111111 LHS peedsters  speedsters
70 319 303  16      0         0  20 01011111101111100101111111 LHS sters      deep      
71 319 307  12      0         0  20 01011111101111100101111111 LHS s          rets      
72 341 319  22      0         0  20 01011111101111100101111111 RHS reverberate reverberates
73 341 322  19      0         0  20 01011111101111100101111111 RHS reverber   eta       
74 341 325  16      0         0  20 01011111101111100101111111 RHS rever      reb       
75 355 337  18      0         0  20 01011111101111100101111111 LHS berates    reverberates
76 355 340  15      0         0  20 01011111101111100101111111 LHS ates       reb       
77 359 346  13      0         0  20 01011111101111100101111111 RHS pe         peseta    
78 373 356  17      0         0  21 01011111101111100111111111 LHS iphanies   epiphanies
79 373 358  15      0         0  21 01011111101111100111111111 LHS hanies     pi        
80 373 360  13      0         0  21 01011111101111100111111111 LHS nies       ah        
81 377 366  11      0         0  21 01011111101111100111111111 RHS os         ossein    
82 387 373  14      0         0  21 01011111101111100111111111 LHS oting      sooting   
83 387 375  12      0         0  21 01011111101111100111111111 LHS ing        to        
84 391 380  11      0         0  21 01011111101111100111111111 RHS se         segni     
85 395 385  10      0         0  22 01011111101111110111111111 LHS ker        esker     
86 397 389   8      0         0  22 01011111101111110111111111 RHS d          drek      
87 417 400  17      0         0  22 01011111101111110111111111 LHS istasteful distasteful
88 417 402  15      0         0  22 01011111101111110111111111 LHS tasteful   si        
89 417 405  12      0         0  22 01011111101111110111111111 LHS teful      sat       
90 417 408   9      0         0  22 01011111101111110111111111 LHS ul         fet       
91 419 411   8      0         0  22 01011111101111110111111111 RHS u          ulu       
92 431 418  13      0         0  22 01011111101111110111111111 LHS tilise     utilise   
93 431 421  10      0         0  22 01011111101111110111111111 LHS ise        lit       
94 431 423   8      0         0  22 01011111101111110111111111 LHS e          si        
95 437 427  10      0         0  22 01011111101111110111111111 RHS sur        sure      
96 443 433  10      0         0  22 01011111101111110111111111 LHS set        russet    
97 449 439  10      0         0  22 01011111101111110111111111 RHS pas        pastes    
