d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51  45946     45946   0 00000000000000000000000000 NIL NIL        NIL       
 1  51   3  48      1     45946   3 10000010000000000100000000 LHS zit        zit       
 2  51  12  39      1     45946   9 10000110100001000110010001 RHS rheuma     rheumatiz 
 3  51  15  36      1     45946   9 10000110100001000110010001 RHS rhe        amu       
 4  51  17  34   3128     49073   9 10000110100001000110010001 RHS r          eh        
 5  51  20  31     26     49098  11 10000110100101000110010011 LHS ob         rob       
 6  51  22  29  45946     95040  11 10000110100101000110010011 NIL NIL        bo        
 7  51  25  26      3     95042  14 11000111101101000110010011 LHS spy        spy       
 8  51  29  22   2083     97124  15 11000111101101000111010011 RHS g          gyps      
 1  51   6  45      2     97125   6 00000010100010000100010001 LHS retina     retina    
 2  51  11  40    978     98102   6 00000010100010000100010001 LHS a          niter     
 3  51  13  38   2608    100709   7 00000010100010000100010011 RHS b          ba        
 4  51  17  34      4    100712  10 00000010100110100100010111 LHS loc        bloc      
 5  51  20  31  45946    146650  10 00000010100110100100010111 NIL NIL        col       
 6  51  22  29     18    146667  12 00100110100110100100010111 LHS xu         xu        
 6  51  23  28      5    146671  13 00000111101110100100010111 LHS pus        pus       
 7  51  25  26  18604    165271  13 00000111101110100100010111 LHS s          up        
 8  51  29  22      1    165271  16 01000111101111100101010111 RHS gym        gyms      
 9  51  31  20   2083    167353  16 01000111101111100101010111 RHS g          my        
 6  51  22  29     14    167366  12 01000010100111100100010111 LHS my         my        
 7  51  25  26   2083    169448  13 01000010100111100101010111 RHS g          gym       
 1  51   5  46      1    169448   5 00100010100000000000010001 LHS retax      retax     
 2  51   7  44      1    169448   5 00100010100000000000010001 LHS tax        er        
 3  51   9  42    151    169598   5 00100010100000000000010001 LHS x          at        
 4  51  12  39      7    169604   7 00100010100000000100110001 RHS fi         fix       
 5  51  14  37  45946    215548   7 00100010100000000100110001 NIL NIL        if        
 6  51  17  34      1    215548  10 01110010100100000100110001 LHS yow        yow       
 7  51  19  32    208    215755  10 01110010100100000100110001 LHS w          oy        
 6  51  20  31      1    215755  13 01100111100110000101110001 LHS youngs     youngs    
 7  51  22  29      1    215755  13 01100111100110000101110001 LHS ungs       oy        
 8  51  25  26  18604    234358  13 01100111100110000101110001 LHS s          gnu       
 1  51   6  45      1    234358   6 00000010100010000100010001 LHS retain     retain    
 2  51   8  43      1    234358   6 00000010100010000100010001 LHS tain       er        
 3  51  10  41     33    234388   6 00000010100010000100010001 LHS in         at        
 4  51  14  37     96    234483   8 00000010100110000100010101 RHS co         coni      
 4  51  17  34      1    234483  11 00000111101111000100010001 RHS spumo      spumoni   
 5  51  19  32     48    234530  11 00000111101111000100010001 RHS spu        om        
 6  51  21  30   5506    239991  11 00000111101111000100010001 RHS s          up        
 7  51  23  28    770    240760  12 00000111101111000110010001 LHS h          sh        
 7  51  24  27     28    240787  13 01000111101111100100010001 LHS ly         sly       
 6  51  22  29  45946    285768  11 00000111101111000100010001 NIL NIL        ups       
 1  51   5  46      1    285768   5 00000001001000000010010001 LHS heaps      heaps     
 2  51   7  44      2    285769   5 00000001001000000010010001 LHS aps        eh        
 3  51   9  42  18604    304372   5 00000001001000000010010001 LHS s          pa        
 4  51  13  38     25    304396   8 00000001001000000110011011 RHS dib        dibs      
 5  51  15  36   3430    307821   8 00000001001000000110011011 RHS d          bi        
 6  51  17  34    392    308212   9 00000001001100000110011011 LHS o          do        
 7  51  19  32   2083    310291  10 00000001001100000111011011 RHS g          go        
 8  51  22  29     31    310321  12 00000101001110000111011011 LHS nu         gnu       
