d  f   g   h   c      s         b   bvms                       xhs rem        w         
 9  51  24  27  45946    356249  12 00000101001110000111011011 NIL NIL        un        
10  51  26  25     14    356262  14 01000101001111000111011011 LHS my         my        
 1  51  10  41      2    356263  10 00000010100010110101010101 LHS retackling retackling
 2  51  15  36      1    356263  10 00000010100010110101010101 LHS kling      cater     
 3  51  18  33     19    356281  10 00000010100010110101010101 LHS ng         ilk       
 1  51   8  43      4    356284   8 00000101100011000101010000 LHS resuming   resuming  
 2  51  13  38      1    356284   8 00000101100011000101010000 LHS ing        muser     
 1  51   4  47      2    356285   4 01000001000000000010000001 LHS hays       hays      
 2  51   7  44  18604    374888   4 01000001000000000010000001 LHS s          yah       
 3  51  11  40     98    374985   7 01000001000000000010011011 RHS deb        debs      
 4  51  13  38   3430    378367   7 01000001000000000010011011 RHS d          be        
 5  51  16  35     17    378383   9 01000001000000000111011011 LHS ig         dig       
 6  51  21  30      1    378383  12 01000101000010000111111011 RHS fun        fungi     
 7  51  23  28   1974    380356  12 01000101000010000111111011 RHS f          nu        
 8  51  27  24      4    380359  15 01000101000110100111111111 LHS loc        floc      
 9  51  30  21  45946    426297  15 01000101000110100111111111 NIL NIL        col       
 1  51   7  44      2    426298   7 00000011100010000101010000 LHS resting    resting   
 2  51  10  41      2    426299   7 00000011100010000101010000 LHS ting       ser       
 3  51  13  38   2860    429158   7 00000011100010000101010000 LHS g          nit       
 4  51  15  36   2172    431329   8 00000011100010000101010001 RHS a          ag        
 5  51  17  34    151    431479   9 00000011100010000101010011 LHS b          ab        
 6  51  21  30      9    431487  12 00000011100111000101010111 RHS com        comb      
 7  51  23  28   5150    436636  12 00000011100111000101010111 RHS c          mo        
 8  51  26  25      6    436641  14 00000111100111000101011111 LHS ud         cud       
 8  51  26  25      2    436642  14 00000111101111000101010111 LHS up         cup       
 1  51   7  44      2    436643   7 00000011101001000000010001 LHS restamp    restamp   
 2  51  10  41      1    436643   7 00000011101001000000010001 LHS tamp       ser       
 3  51  13  38    315    436957   7 00000011101001000000010001 LHS p          mat       
 4  51  16  35     82    437038   9 00000011101001000100011001 RHS di         dip       
