d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  55   5  50      0         0   3 00000010001100000000000000 LHS potto      potto     
 2  55   8  47      0         0   3 00000010001100000000000000 LHS to         top       
 3  61  16  45      0         0   6 00000010001100100000100001 RHS flatfo     flatfoot  
 4  61  19  42      0         0   6 00000010001100100000100001 RHS fla        oft       
 5  69  28  41      0         0   8 00000010101100100100100001 LHS ilaria     alfilaria 
 6  69  30  39      0         0   8 00000010101100100100100001 LHS aria       li        
 7  69  35  34      0         0   9 00000010101110100100100001 RHS n          naira     
 8  75  40  35      0         0  10 00000011101110100100100001 LHS onas       nonas     
 9  75  42  33      0         0  10 00000011101110100100100001 LHS as         no        
10  79  47  32      0         0  11 00000011101110100110100001 RHS han        hansa     
11  79  50  29      0         0  11 00000011101110100110100001 NIL NIL        nah       
12  97  60  37      0         0  12 00000011101110100110100101 LHS scallopini scallopini
13  97  64  33      0         0  12 00000011101110100110100101 LHS lopini     lacs      
14  97  67  30      0         0  12 00000011101110100110100101 LHS ini        pol       
15 103  76  27      0         0  15 00000111101110110110101101 RHS kundal     kundalini 
16 103  79  24      0         0  15 00000111101110110110101101 RHS kun        lad       
17 105  84  21      0         0  16 00000111101110110110111101 LHS ed         nuked     
18 115  92  23      0         0  17 00000111101111110110111101 RHS remola     remolade  
19 115  94  21      0         0  17 00000111101111110110111101 RHS remo       al        
20 115  98  17      0         0  17 00000111101111110110111101 NIL NIL        omer      
21 147 114  33      0         0  17 00000111101111110110111101 LHS antitotalitarian antitotalitarian
22 147 116  31      0         0  17 00000111101111110110111101 LHS titotalitarian na        
23 147 119  28      0         0  17 00000111101111110110111101 LHS otalitarian tit       
24 147 121  26      0         0  17 00000111101111110110111101 LHS alitarian  to        
25 147 123  24      0         0  17 00000111101111110110111101 LHS itarian    la        
26 147 125  22      0         0  17 00000111101111110110111101 LHS arian      ti        
27 147 130  17      0         0  17 00000111101111110110111101 NIL NIL        naira     
28 161 138  23      0         0  18 00000111101111110110111111 LHS limbered   limbered  
29 161 141  20      0         0  18 00000111101111110110111111 LHS bered      mil       
30 161 144  17      0         0  18 00000111101111110110111111 LHS ed         reb       
31 165 148  17      0         0  18 00000111101111110110111111 RHS ha         hade      
32 179 157  22      0         0  18 00000111101111110110111111 LHS istoric    ahistoric 
33 179 159  20      0         0  18 00000111101111110110111111 LHS toric      si        
34 179 162  17      0         0  18 00000111101111110110111111 LHS ic         rot       
35 185 167  18      0         0  18 00000111101111110110111111 RHS cer        cerci     
36 199 179  20      0         0  20 00001111101111110111111111 LHS onverting  reconverting
37 199 181  18      0         0  20 00001111101111110111111111 LHS verting    no        
38 199 184  15      0         0  20 00001111101111110111111111 LHS ting       rev       
39 199 187  12      0         0  20 00001111101111110111111111 LHS g          nit       
