d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   6  47      0         0   5 00000011000000100100000001 LHS tallis     tallis    
 2  53   9  44      0         0   5 00000011000000100100000001 LHS lis        lat       
 3  55  15  40      0         0   7 00000011100000100100000011 RHS bra        brasil    
 4  67  27  40      0         0  10 00000111100000100101010011 LHS itrageurs  arbitrageurs
 5  67  29  38      0         0  10 00000111100000100101010011 LHS rageurs    ti        
 6  67  32  35      0         0  10 00000111100000100101010011 LHS eurs       gar       
 7  67  35  32      0         0  10 00000111100000100101010011 LHS s          rue       
 8  73  42  31      0         0  13 00010111101100100101010011 RHS bowpot     bowpots   
 9  73  45  28      0         0  13 00010111101100100101010011 RHS bow        top       
10  73  47  26      0         0  13 00010111101100100101010011 RHS b          wo        
11  79  53  26      0         0  15 00010111101101100101011011 LHS eamed      beamed    
12  79  55  24      0         0  15 00010111101101100101011011 LHS med        ae        
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
13  83  61  22      0         0  16 00010111101111100101011011 RHS ana        anadem    
14  91  69  22      0         0  17 00010111101111100101011111 LHS lects      analects  
15  91  72  19      0         0  17 00010111101111100101011111 LHS ts         cel       
15  91  72  19      0         0  17 00010111101111100101011111 LHS ts         cel       
15  91  72  19      0         0  17 00010111101111100101011111 LHS ts         cel       
16  97  78  19      0         0  18 00011111101111100101011111 RHS vile       vilest    
17  97  80  17      0         0  18 00011111101111100101011111 RHS vi         el        
17  97  80  17      0         0  18 00011111101111100101011111 RHS vi         el        
17  97  80  17      0         0  18 00011111101111100101011111 RHS vi         el        
17  97  80  17      0         0  18 00011111101111100101011111 RHS vi         el        
17  97  80  17      0         0  18 00011111101111100101011111 RHS vi         el        
18 101  85  16      0         0  19 01011111101111100101011111 LHS ory        ivory     
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
19 103  89  14      0         0  19 01011111101111100101011111 RHS g          gyro      
