d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   6  47      0         0   5 00000011000010000000011000 LHS tensed     tensed    
 2  53   9  44      0         0   5 00000011000010000000011000 LHS sed        net       
 3  55  15  40      0         0   7 00000011000110000100011000 RHS dio        diodes    
 4  57  20  37      0         0   8 00000011000110000100011001 LHS ia         oidia     
 5  61  25  36      0         0   9 00000011001110000100011001 RHS pso        psoai     
 6  63  31  32      0         0  11 01000011101110000100011001 LHS rey        osprey    
 7  71  40  31      0         0  13 01000011101111100100011001 RHS minela     minelayer 
 8  71  42  29      0         0  13 01000011101111100100011001 RHS mine       al        
 9  71  44  27      0         0  13 01000011101111100100011001 RHS mi         en        
10  91  58  33      0         0  15 01000111101111100100011011 LHS putabilities imputabilities
11  91  60  31      0         0  15 01000111101111100100011011 LHS tabilities up        
12  91  62  29      0         0  15 01000111101111100100011011 LHS bilities   at        
13  91  65  26      0         0  15 01000111101111100100011011 LHS ities      lib       
14  91  67  24      0         0  15 01000111101111100100011011 LHS ies        ti        
15  91  70  21      0         0  15 01000111101111100100011011 NIL NIL        sei       
15  91  70  21      0         0  15 01000111101111100100011011 NIL NIL        sei       
16 107  78  29      0         0  15 01000111101111100100011011 LHS sudatory   sudatory  
17 107  80  27      0         0  15 01000111101111100100011011 LHS datory     us        
18 107  82  25      0         0  15 01000111101111100100011011 LHS tory       ad        
19 115  90  25      0         0  15 01000111101111100100011011 RHS tomm       tommyrot  
20 115  92  23      0         0  15 01000111101111100100011011 RHS to         mm        
21 121  99  22      0         0  17 01000111101111100101011111 LHS algic      otalgic   
22 121 101  20      0         0  17 01000111101111100101011111 LHS gic        la        
23 121 104  17      0         0  17 01000111101111100101011111 NIL NIL        cig       
24 137 112  25      0         0  17 01000111101111100101011111 LHS endorser   endorser  
25 137 114  23      0         0  17 01000111101111100101011111 LHS dorser     ne        
26 137 117  20      0         0  17 01000111101111100101011111 LHS ser        rod       
27 149 126  23      0         0  17 01000111101111100101011111 RHS misere     misereres 
28 149 128  21      0         0  17 01000111101111100101011111 RHS mise       er        
29 149 130  19      0         0  17 01000111101111100101011111 RHS mi         es        
30 171 143  28      0         0  17 01000111101111100101011111 LHS personating impersonating
31 171 146  25      0         0  17 01000111101111100101011111 LHS sonating   rep       
32 171 149  22      0         0  17 01000111101111100101011111 LHS ating      nos       
33 171 151  20      0         0  17 01000111101111100101011111 LHS ing        ta        
34 175 156  19      0         0  17 01000111101111100101011111 RHS se         segni     
35 175 158  17      0         0  17 01000111101111100101011111 NIL NIL        es        
36 187 164  23      0         0  17 01000111101111100101011111 LHS girdle     girdle    
37 187 167  20      0         0  17 01000111101111100101011111 LHS dle        rig       
38 195 176  19      0         0  19 01010111101111100101111111 RHS snowfi     snowfield 
39 195 178  17      0         0  19 01010111101111100101111111 RHS snow       if        
40 195 182  13      0         0  19 01010111101111100101111111 NIL NIL        wons      
41 211 190  21      0         0  19 01010111101111100101111111 LHS tambalas   tambalas  
42 211 193  18      0         0  19 01010111101111100101111111 LHS balas      mat       
43 211 196  15      0         0  19 01010111101111100101111111 LHS as         lab       
44 217 201  16      0         0  19 01010111101111100101111111 RHS sal        salsa     
45 225 208  17      0         0  19 01010111101111100101111111 LHS soer       lassoer   
46 227 214  13      0         0  20 01011111101111100101111111 RHS vi         vireos    
47 229 217  12      0         0  20 01011111101111100101111111 LHS y          ivy       
47 229 217  12      0         0  20 01011111101111100101111111 LHS y          ivy       
47 229 217  12      0         0  20 01011111101111100101111111 LHS y          ivy       
48 237 222  15      0         0  20 01011111101111100101111111 RHS comm       commy     
49 237 224  13      0         0  20 01011111101111100101111111 RHS co         mm        
50 247 231  16      0         0  20 01011111101111100101111111 LHS tette      octette   
51 247 234  13      0         0  20 01011111101111100101111111 LHS te         tet       
52 255 240  15      0         0  20 01011111101111100101111111 RHS mall       mallet    
53 259 246  13      0         0  20 01011111101111100101111111 LHS as         llamas    
54 265 251  14      0         0  20 01011111101111100101111111 RHS dor        dorsa     
55 273 258  15      0         0  20 01011111101111100101111111 LHS smen       rodsmen   
56 273 261  12      0         0  20 01011111101111100101111111 LHS n          ems       
56 273 261  12      0         0  20 01011111101111100101111111 LHS n          ems       
57 299 275  24      0         0  20 01011111101111100101111111 RHS committeewome committeewomen
58 299 277  22      0         0  20 01011111101111100101111111 RHS committeewo em        
59 299 280  19      0         0  20 01011111101111100101111111 RHS committe   owe       
60 299 282  17      0         0  20 01011111101111100101111111 RHS commit     et        
61 299 284  15      0         0  20 01011111101111100101111111 RHS comm       ti        
62 299 286  13      0         0  20 01011111101111100101111111 RHS co         mm        
63 307 292  15      0         0  20 01011111101111100101111111 LHS tets       octets    
64 307 295  12      0         0  20 01011111101111100101111111 LHS s          tet       
64 307 295  12      0         0  20 01011111101111100101111111 LHS s          tet       
64 307 295  12      0         0  20 01011111101111100101111111 LHS s          tet       
65 323 304  19      0         0  20 01011111101111100101111111 RHS reabsorb   reabsorbs 
66 323 308  15      0         0  20 01011111101111100101111111 RHS reab       bros      
67 323 310  13      0         0  20 01011111101111100101111111 RHS re         ba        
68 329 315  14      0         0  20 01011111101111100101111111 LHS ses        erses     
69 339 323  16      0         0  20 01011111101111100101111111 RHS anemo      anemoses  
70 339 325  14      0         0  20 01011111101111100101111111 RHS ane        om        
71 355 336  19      0         0  20 01011111101111100101111111 LHS melwares   enamelwares
72 355 338  17      0         0  20 01011111101111100101111111 LHS lwares     em        
73 355 341  14      0         0  20 01011111101111100101111111 LHS res        awl       
74 361 347  14      0         0  20 01011111101111100101111111 RHS gey        geyser    
75 361 349  12      0         0  20 01011111101111100101111111 RHS g          ye        
76 383 361  22      0         0  20 01011111101111100101111111 LHS lossinesses glossinesses
77 383 364  19      0         0  20 01011111101111100101111111 LHS sinesses   sol       
78 383 366  17      0         0  20 01011111101111100101111111 LHS nesses     is        
79 383 368  15      0         0  20 01011111101111100101111111 LHS sses       en        
