d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  51   2  49      0         0   2 00010000000100000000000000 LHS ow         ow        
 2  51   4  47      0         0   2 00010000000100000000000000 NIL NIL        wo        
 3  51   7  44      0         0   5 00010001000100100000010000 LHS sel        sel       
 4  53  13  40      0         0   7 00010011000100100100010000 RHS sti        stiles    
 5  53  16  37      0         0   7 00010011000100100100010000 NIL NIL        its       
 6  63  26  37      0         0  12 00010111101110100100010100 LHS supertonic supertonic
 7  63  28  35      0         0  12 00010111101110100100010100 LHS pertonic   us        
 8  63  31  32      0         0  12 00010111101110100100010100 LHS tonic      rep       
 9  63  34  29      0         0  12 00010111101110100100010100 LHS ic         not       
10  67  38  29      0         0  12 00010111101110100100010100 RHS un         unci      
11  73  46  27      0         0  15 01010111101110100101010101 LHS gatory     nugatory  
12  73  49  24      0         0  15 01010111101110100101010101 LHS ory        tag       
12  73  49  24      0         0  15 01010111101110100101010101 LHS ory        tag       
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
13  75  53  22      0         0  15 01010111101110100101010101 RHS t          tyro      
14  81  59  22      0         0  17 01010111101110110111010101 LHS hanks      thanks    
15  81  62  19      0         0  17 01010111101110110111010101 LHS ks         nah       
15  81  62  19      0         0  17 01010111101110110111010101 LHS ks         nah       
16  83  66  17      0         0  18 01010111101110110111010111 RHS ba         bask      
16  83  66  17      0         0  18 01010111101110110111010111 RHS ba         bask      
17  89  72  17      0         0  19 01010111101110110111011111 LHS duce       abduce    
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
18  89  75  14      0         0  19 01010111101110110111011111 LHS e          cud       
19  93  79  14      0         0  20 01010111101111110111011111 RHS dam        dame      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
20  95  83  12      0         0  20 01010111101111110111011111 LHS e          made      
21  99  87  12      0         0  21 01011111101111110111011111 RHS vin        vine      
21  99  87  12      0         0  21 01011111101111110111011111 RHS vin        vine      
22 103  92  11      0         0  21 01011111101111110111011111 LHS al         nival     
23 107  96  11      0         0  21 01011111101111110111011111 RHS hu         hula      
23 107  96  11      0         0  21 01011111101111110111011111 RHS hu         hula      
24 107  98   9      0         0  21 01011111101111110111011111 NIL NIL        uh        
24 107  98   9      0         0  21 01011111101111110111011111 NIL NIL        uh        
24 107  98   9      0         0  21 01011111101111110111011111 NIL NIL        uh        
