d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  51   7  44      0         0   7 00000011000000100100010011 LHS stabile    stabile   
 2  51  11  40      0         0   7 00000011000000100100010011 LHS ile        bats      
 3  53  16  37      0         0   8 00000011000100100100010011 RHS ob         obeli     
 4  59  22  37      0         0   9 00000011000100100100110011 LHS ffos       boffos    
 5  59  25  34      0         0   9 00000011000100100100110011 LHS s          off       
 6  69  33  36      0         0  11 00000011000111100100110011 RHS amentia    amentias  
 7  69  36  33      0         0  11 00000011000111100100110011 RHS amen       ait       
 8  85  49  36      0         0  12 00000011000111100101110011 LHS tologists  nematologists
 9  85  52  33      0         0  12 00000011000111100101110011 LHS ogists     lot       
10  85  54  31      0         0  12 00000011000111100101110011 LHS ists       go        
11  85  56  29      0         0  12 00000011000111100101110011 LHS ts         si        
12  97  64  33      0         0  12 00000011000111100101110011 RHS slimme     slimmest  
13  97  66  31      0         0  12 00000011000111100101110011 RHS slim       em        
14  97  70  27      0         0  12 00000011000111100101110011 NIL NIL        mils      
15 113  80  33      0         0  14 00010011000111100101110111 LHS allowances allowances
16 113  84  29      0         0  14 00010011000111100101110111 LHS wances     olla      
17 113  87  26      0         0  14 00010011000111100101110111 LHS ces        naw       
18 115  93  22      0         0  16 00010011101111100101110111 RHS par        parsec    
19 119  98  21      0         0  16 00010011101111100101110111 LHS er         raper     
20 125 103  22      0         0  16 00010011101111100101110111 RHS nit        nitre     
21 133 110  23      0         0  16 00010011101111100101110111 LHS sels       tinsels   
22 139 117  22      0         0  16 00010011101111100101110111 RHS mea        measles   
23 139 119  20      0         0  16 00010011101111100101110111 RHS m          ae        
24 149 126  23      0         0  17 00010011101111100101111111 LHS ansard     mansard   
25 149 128  21      0         0  17 00010011101111100101111111 LHS sard       na        
26 155 136  19      0         0  18 00010011101111100111111111 RHS ephe       ephedras  
27 155 138  17      0         0  18 00010011101111100111111111 RHS ep         eh        
28 173 149  24      0         0  18 00010011101111100111111111 LHS trodollar  petrodollar
29 173 152  21      0         0  18 00010011101111100111111111 LHS dollar     ort       
30 173 154  19      0         0  18 00010011101111100111111111 LHS llar       od        
31 173 157  16      0         0  18 00010011101111100111111111 LHS r          all       
32 183 163  20      0         0  18 00010011101111100111111111 RHS plana      planar    
33 199 176  23      0         0  18 00010011101111100111111111 LHS habetics   analphabetics
34 199 179  20      0         0  18 00010011101111100111111111 LHS etics      bah       
35 199 183  16      0         0  18 00010011101111100111111111 LHS s          cite      
36 217 193  24      0         0  18 00010011101111100111111111 RHS collimate  collimates
37 217 195  22      0         0  18 00010011101111100111111111 RHS collima    et        
38 217 197  20      0         0  18 00010011101111100111111111 RHS colli      am        
39 217 200  17      0         0  18 00010011101111100111111111 RHS co         ill       
40 221 205  16      0         0  19 00010111101111100111111111 LHS uli        oculi     
41 225 210  15      0         0  19 00010111101111100111111111 RHS po         poilu     
42 239 219  20      0         0  19 00010111101111100111111111 LHS pilated    oppilated 
43 239 222  17      0         0  19 00010111101111100111111111 LHS ated       lip       
44 239 225  14      0         0  19 00010111101111100111111111 LHS d          eta       
45 251 232  19      0         0  19 00010111101111100111111111 RHS stagge     stagged   
46 251 235  16      0         0  19 00010111101111100111111111 RHS sta        egg       
47 251 237  14      0         0  19 00010111101111100111111111 RHS s          at        
48 269 247  22      0         0  19 00010111101111100111111111 LHS hamanisms  shamanisms
49 269 251  18      0         0  19 00010111101111100111111111 LHS nisms      amah      
50 269 254  15      0         0  19 00010111101111100111111111 LHS ms         sin       
51 297 270  27      0         0  19 00010111101111100111111111 RHS necessitariani necessitarianism
52 297 272  25      0         0  19 00010111101111100111111111 RHS necessitaria in        
53 297 275  22      0         0  19 00010111101111100111111111 RHS necessita  air       
54 297 277  20      0         0  19 00010111101111100111111111 RHS necessi    at        
55 297 279  18      0         0  19 00010111101111100111111111 RHS neces      is        
56 297 282  15      0         0  19 00010111101111100111111111 RHS ne         sec       
57 319 295  24      0         0  19 00010111101111100111111111 LHS terostomies enterostomies
58 319 298  21      0         0  19 00010111101111100111111111 LHS ostomies   ret       
59 319 300  19      0         0  19 00010111101111100111111111 LHS tomies     so        
60 319 303  16      0         0  19 00010111101111100111111111 LHS ies        mot       
61 325 309  16      0         0  19 00010111101111100111111111 RHS san        sansei    
62 339 319  20      0         0  19 00010111101111100111111111 LHS alities    nasalities
63 339 321  18      0         0  19 00010111101111100111111111 LHS ities      la        
64 339 323  16      0         0  19 00010111101111100111111111 LHS ies        ti        
65 345 329  16      0         0  19 00010111101111100111111111 RHS san        sansei    
66 359 339  20      0         0  19 00010111101111100111111111 LHS alising    nasalising
67 359 341  18      0         0  19 00010111101111100111111111 LHS ising      la        
68 359 345  14      0         0  19 00010111101111100111111111 LHS g          nisi      
69 375 354  21      0         0  19 00010111101111100111111111 RHS arrestin   arresting 
70 375 357  18      0         0  19 00010111101111100111111111 RHS arres      nit       
71 379 364  15      0         0  19 00010111101111100111111111 LHS te         serrate   
72 383 369  14      0         0  20 00011111101111100111111111 RHS val        valet     
73 393 377  16      0         0  20 00011111101111100111111111 LHS aboes      lavaboes  
74 393 379  14      0         0  20 00011111101111100111111111 LHS oes        ba        
75 397 384  13      0         0  20 00011111101111100111111111 RHS pa         paseo     
76 415 395  20      0         0  20 00011111101111100111111111 LHS oneurosis  aponeurosis
77 415 397  18      0         0  20 00011111101111100111111111 LHS eurosis    no        
78 415 400  15      0         0  20 00011111101111100111111111 LHS osis       rue       
79 415 402  13      0         0  20 00011111101111100111111111 LHS is         so        
80 427 410  17      0         0  20 00011111101111100111111111 RHS narcis     narcissi  
81 427 413  14      0         0  20 00011111101111100111111111 RHS nar        sic       
