d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  51   8  43      0         0   8 01010100100010100100000001 LHS unwarily   unwarily  
 2  51  10  41      0         0   8 01010100100010100100000001 LHS warily     nu        
 3  51  13  38      0         0   8 01010100100010100100000001 LHS ily        raw       
 4  51  18  33      0         0  10 01010111100010100100000001 RHS st         styli     
 5  61  27  34      0         0  12 01011111100010100100010001 LHS arevnas    tsarevnas 
 6  61  31  30      0         0  12 01011111100010100100010001 LHS nas        vera      
 7  71  41  30      0         0  14 01011111101010100100010011 RHS biparti    bipartisan
 8  71  43  28      0         0  14 01011111101010100100010011 RHS bipar      it        
 9  71  46  25      0         0  14 01011111101010100100010011 RHS bi         rap       
10  75  50  25      0         0  14 01011111101010100100010011 LHS is         ibis      
11  75  52  23      0         0  14 01011111101010100100010011 NIL NIL        si        
11  75  52  23      0         0  14 01011111101010100100010011 NIL NIL        si        
12  89  61  28      0         0  16 01011111101010100101010111 LHS antigenic  antigenic 
13  89  63  26      0         0  16 01011111101010100101010111 LHS tigenic    na        
14  89  66  23      0         0  16 01011111101010100101010111 LHS enic       git       
15  97  75  22      0         0  17 01011111101010100101110111 RHS fettu      fettucine 
16  97  77  20      0         0  17 01011111101010100101110111 RHS fet        ut        
17  99  81  18      0         0  17 01011111101010100101110111 LHS f          teff      
18 105  85  20      0         0  17 01011111101010100101110111 RHS pel        pelf      
19 115  94  21      0         0  18 01011111101110100101110111 LHS totene     leptotene 
20 115  97  18      0         0  18 01011111101110100101110111 LHS ene        tot       
21 123 106  17      0         0  20 01011111101111100101111111 RHS spodum     spodumene 
22 123 108  15      0         0  20 01011111101111100101111111 RHS spod       mu        
23 123 110  13      0         0  20 01011111101111100101111111 RHS sp         do        
24 133 117  16      0         0  20 01011111101111100101111111 LHS ammon      psammon   
25 133 119  14      0         0  20 01011111101111100101111111 LHS mon        ma        
26 133 121  12      0         0  20 01011111101111100101111111 LHS n          om        
27 143 127  16      0         0  20 01011111101111100101111111 RHS decer      decern    
28 147 134  13      0         0  20 01011111101111100101111111 LHS ed         receded   
29 163 144  19      0         0  20 01011111101111100101111111 RHS streamsi   streamside
30 163 146  17      0         0  20 01011111101111100101111111 RHS stream     is        
31 163 148  15      0         0  20 01011111101111100101111111 RHS stre       ma        
32 163 150  13      0         0  20 01011111101111100101111111 RHS st         er        
33 171 156  15      0         0  20 01011111101111100101111111 LHS etse       tsetse    
34 173 161  12      0         0  20 01011111101111100101111111 RHS g          geste     
34 173 161  12      0         0  20 01011111101111100101111111 RHS g          geste     
35 189 170  19      0         0  20 01011111101111100101111111 LHS loomiest   gloomiest 
36 189 174  15      0         0  20 01011111101111100101111111 LHS iest       mool      
37 189 177  12      0         0  20 01011111101111100101111111 LHS t          sei       
38 205 186  19      0         0  20 01011111101111100101111111 RHS narrowes   narrowest 
39 205 189  16      0         0  20 01011111101111100101111111 RHS narro      sew       
40 205 191  14      0         0  20 01011111101111100101111111 RHS nar        or        
41 215 199  16      0         0  20 01011111101111100101111111 LHS cored      rancored  
42 215 202  13      0         0  20 01011111101111100101111111 LHS ed         roc       
43 229 211  18      0         0  20 01011111101111100101111111 RHS orangea    orangeade 
44 229 213  16      0         0  20 01011111101111100101111111 RHS orang      ae        
45 229 217  12      0         0  20 01011111101111100101111111 RHS o          gnar      
46 241 224  17      0         0  20 01011111101111100101111111 LHS smoles     osmoles   
47 241 227  14      0         0  20 01011111101111100101111111 LHS les        oms       
48 247 233  14      0         0  20 01011111101111100101111111 RHS dor        dorsel    
49 255 240  15      0         0  20 01011111101111100101111111 LHS ents       rodents   
50 255 242  13      0         0  20 01011111101111100101111111 LHS ts         ne        
51 259 246  13      0         0  20 01011111101111100101111111 RHS co         cost      
51 259 246  13      0         0  20 01011111101111100101111111 RHS co         cost      
52 275 256  19      0         0  20 01011111101111100101111111 LHS cipitals   occipitals
53 275 259  16      0         0  20 01011111101111100101111111 LHS itals      pic       
54 275 261  14      0         0  20 01011111101111100101111111 LHS als        ti        
55 279 266  13      0         0  20 01011111101111100101111111 RHS te         tesla     
56 281 270  11      0         0  21 01011111101111100111111111 LHS hs         eths      
57 291 278  13      0         0  22 01011111101111110111111111 RHS tickli     ticklish  
58 291 281  10      0         0  22 01011111101111110111111111 RHS tic        ilk       
59 299 288  11      0         0  22 01011111101111110111111111 LHS hara       cithara   
60 299 290   9      0         0  22 01011111101111110111111111 LHS ra         ah        
61 307 296  11      0         0  22 01011111101111110111111111 RHS eyeb       eyebar    
62 307 299   8      0         0  22 01011111101111110111111111 RHS e          bey       
63 319 306  13      0         0  22 01011111101111110111111111 LHS remuri     eremuri   
64 319 308  11      0         0  22 01011111101111110111111111 LHS muri       er        
65 319 311   8      0         0  22 01011111101111110111111111 LHS i          rum       
66 327 316  11      0         0  22 01011111101111110111111111 RHS brav       bravi     
67 327 319   8      0         0  22 01011111101111110111111111 RHS b          var       
67 327 319   8      0         0  22 01011111101111110111111111 RHS b          var       
68 341 326  15      0         0  22 01011111101111110111111111 LHS ialies     bialies   
69 341 328  13      0         0  22 01011111101111110111111111 LHS lies       ai        
70 343 334   9      0         0  22 01011111101111110111111111 RHS ab         abseil    
71 351 339  12      0         0  22 01011111101111110111111111 LHS bel        babel     
72 351 343   8      0         0  22 01011111101111110111111111 RHS p          pleb      
72 351 343   8      0         0  22 01011111101111110111111111 RHS p          pleb      
73 367 352  15      0         0  22 01011111101111110111111111 LHS rotopods   protopods 
74 367 354  13      0         0  22 01011111101111110111111111 LHS topods     or        
75 367 357  10      0         0  22 01011111101111110111111111 LHS ods        pot       
76 373 362  11      0         0  22 01011111101111110111111111 RHS mi         misdo     
77 381 369  12      0         0  22 01011111101111110111111111 LHS paled      impaled   
78 381 372   9      0         0  22 01011111101111110111111111 LHS ed         lap       
78 381 372   9      0         0  22 01011111101111110111111111 LHS ed         lap       
79 389 378  11      0         0  22 01011111101111110111111111 RHS abra       abrade    
80 389 380   9      0         0  22 01011111101111110111111111 RHS ab         ar        
81 407 388  19      0         0  22 01011111101111110111111111 LHS ilsman     bailsman  
82 407 390  17      0         0  22 01011111101111110111111111 LHS sman       li        
83 407 396  11      0         0  22 01011111101111110111111111 RHS du         dunams    
84 409 400   9      0         0  22 01011111101111110111111111 LHS os         udos      
85 415 405  10      0         0  22 01011111101111110111111111 RHS mos        mosso     
86 433 417  16      0         0  22 01011111101111110111111111 LHS atologies  somatologies
87 433 419  14      0         0  22 01011111101111110111111111 LHS ologies    ta        
88 433 421  12      0         0  22 01011111101111110111111111 LHS ogies      lo        
89 433 423  10      0         0  22 01011111101111110111111111 LHS ies        go        
90 433 426   7      0         0  22 01011111101111110111111111 NIL NIL        sei       
90 433 426   7      0         0  22 01011111101111110111111111 NIL NIL        sei       
90 433 426   7      0         0  22 01011111101111110111111111 NIL NIL        sei       
90 433 426   7      0         0  22 01011111101111110111111111 NIL NIL        sei       
