d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  55  10  45      0         0   8 00000011000101100100010010 LHS mobilities mobilities
 2  55  12  43      0         0   8 00000011000101100100010010 LHS bilities   om        
 3  55  15  40      0         0   8 00000011000101100100010010 LHS ities      lib       
 4  55  17  38      0         0   8 00000011000101100100010010 LHS ies        ti        
 5  55  20  35      0         0   8 00000011000101100100010010 NIL NIL        sei       
 6  61  24  37      0         0   9 00000011000101100100010011 LHS sati       sati      
 7  61  29  32      0         0  10 00000011001101100100010011 RHS p          pitas     
 8  81  43  38      0         0  13 00000011101111100110010011 LHS rothonotaries prothonotaries
 9  81  46  35      0         0  13 00000011101111100110010011 LHS honotaries tor       
10  81  48  33      0         0  13 00000011101111100110010011 LHS notaries   oh        
11  81  50  31      0         0  13 00000011101111100110010011 LHS taries     on        
12  81  53  28      0         0  13 00000011101111100110010011 LHS ies        rat       
13  85  58  27      0         0  13 00000011101111100110010011 RHS ni         nisei     
14  93  65  28      0         0  14 00000011101111100111010011 LHS gates      ingates   
15  93  67  26      0         0  14 00000011101111100111010011 LHS tes        ag        
16  97  73  24      0         0  15 00000111101111100111010011 RHS sub        subset    
17 107  81  26      0         0  15 00000111101111100111010011 LHS tiers      bustiers  
18 107  83  24      0         0  15 00000111101111100111010011 LHS ers        it        
19 107  85  22      0         0  15 00000111101111100111010011 LHS s          re        
20 113  90  23      0         0  16 00000111101111100111011011 RHS side       sides     
21 113  92  21      0         0  16 00000111101111100111011011 RHS si         ed        
22 125 100  25      0         0  16 00000111101111100111011011 LHS ospins     isospins  
23 125 102  23      0         0  16 00000111101111100111011011 LHS pins       so        
24 131 109  22      0         0  16 00000111101111100111011011 RHS par        parsnip   
25 137 115  22      0         0  16 00000111101111100111011011 LHS tor        raptor    
26 141 120  21      0         0  16 00000111101111100111011011 RHS to         torot     
27 151 127  24      0         0  16 00000111101111100111011011 LHS olith      otolith   
28 151 129  22      0         0  16 00000111101111100111011011 LHS ith        lo        
29 151 131  20      0         0  16 00000111101111100111011011 LHS h          ti        
30 161 138  23      0         0  17 00000111101111100111011111 RHS currag     curragh   
31 161 141  20      0         0  17 00000111101111100111011111 RHS cur        gar       
32 167 147  20      0         0  17 00000111101111100111011111 LHS hed        ruched    
33 167 149  18      0         0  17 00000111101111100111011111 LHS d          eh        
34 177 155  22      0         0  17 00000111101111100111011111 RHS nimme      nimmed    
35 177 157  20      0         0  17 00000111101111100111011111 RHS nim        em        
36 191 167  24      0         0  17 00000111101111100111011111 LHS imising    minimising
37 191 169  22      0         0  17 00000111101111100111011111 LHS ising      mi        
38 191 171  20      0         0  17 00000111101111100111011111 LHS ing        si        
39 195 176  19      0         0  17 00000111101111100111011111 RHS se         segni     
40 211 186  25      0         0  17 00000111101111100111011111 LHS capement   escapement
41 211 189  22      0         0  17 00000111101111100111011111 LHS ement      pac       
42 211 191  20      0         0  17 00000111101111100111011111 LHS ent        me        
43 211 193  18      0         0  17 00000111101111100111011111 LHS t          ne        
44 215 197  18      0         0  18 00001111101111100111011111 RHS ven        vent      
45 219 202  17      0         0  18 00001111101111100111011111 LHS us         nevus     
46 229 210  19      0         0  19 10001111101111100111011111 RHS zaibat     zaibatsu  
47 229 212  17      0         0  19 10001111101111100111011111 RHS zaib       ta        
48 229 214  15      0         0  19 10001111101111100111011111 RHS za         bi        
49 231 217  14      0         0  19 10001111101111100111011111 LHS o          azo       
50 247 226  21      0         0  19 10001111101111100111011111 RHS sanbenit   sanbenito 
51 247 228  19      0         0  19 10001111101111100111011111 RHS sanben     ti        
52 247 231  16      0         0  19 10001111101111100111011111 RHS san        neb       
53 253 237  16      0         0  19 10001111101111100111011111 LHS als        nasals    
54 257 242  15      0         0  19 10001111101111100111011111 RHS te         tesla     
55 269 249  20      0         0  19 10001111101111100111011111 LHS esian      etesian   
56 273 258  15      0         0  20 11001111101111100111011111 RHS lyon       lyonnaise 
57 273 260  13      0         0  20 11001111101111100111011111 RHS ly         no        
58 279 265  14      0         0  20 11001111101111100111011111 LHS ems        ylems     
59 283 270  13      0         0  20 11001111101111100111011111 RHS di         disme     
60 295 278  17      0         0  20 11001111101111100111011111 LHS olator     idolator  
61 295 280  15      0         0  20 11001111101111100111011111 LHS ator       lo        
62 295 282  13      0         0  20 11001111101111100111011111 LHS or         ta        
63 305 289  16      0         0  20 11001111101111100111011111 RHS prime      primero   
64 305 293  12      0         0  20 11001111101111100111011111 RHS p          emir      
65 319 301  18      0         0  20 11001111101111100111011111 LHS entosan    pentosan  
66 319 303  16      0         0  20 11001111101111100111011111 LHS tosan      ne        
67 319 306  13      0         0  20 11001111101111100111011111 LHS an         sot       
68 327 312  15      0         0  20 11001111101111100111011111 RHS naga       nagana    
69 327 315  12      0         0  20 11001111101111100111011111 RHS n          aga       
70 351 328  23      0         0  20 11001111101111100111011111 LHS ondegradable nondegradable
71 351 330  21      0         0  20 11001111101111100111011111 LHS degradable no        
72 351 333  18      0         0  20 11001111101111100111011111 LHS radable    ged       
73 351 335  16      0         0  20 11001111101111100111011111 LHS dable      ar        
74 351 338  13      0         0  20 11001111101111100111011111 LHS le         bad       
75 357 343  14      0         0  20 11001111101111100111011111 RHS hot        hotel     
76 357 345  12      0         0  20 11001111101111100111011111 RHS h          to        
77 373 354  19      0         0  20 11001111101111100111011111 LHS ymnodies   hymnodies 
78 373 356  17      0         0  20 11001111101111100111011111 LHS nodies     my        
79 373 358  15      0         0  20 11001111101111100111011111 LHS dies       on        
80 373 360  13      0         0  20 11001111101111100111011111 LHS es         id        
81 387 369  18      0         0  20 11001111101111100111011111 RHS decompo    decompose 
82 387 371  16      0         0  20 11001111101111100111011111 RHS decom      op        
83 387 373  14      0         0  20 11001111101111100111011111 RHS dec        mo        
84 391 378  13      0         0  20 11001111101111100111011111 LHS is         cedis     
85 393 381  12      0         0  20 11001111101111100111011111 RHS p          psi       
86 411 391  20      0         0  20 11001111101111100111011111 LHS raenomens  praenomens
87 411 395  16      0         0  20 11001111101111100111011111 LHS omens      near      
88 411 397  14      0         0  20 11001111101111100111011111 LHS ens        mo        
89 411 399  12      0         0  20 11001111101111100111011111 LHS s          ne        
90 423 406  17      0         0  20 11001111101111100111011111 RHS sambur     samburs   
91 423 409  14      0         0  20 11001111101111100111011111 RHS sam        rub       
92 437 419  18      0         0  20 11001111101111100111011111 LHS todonic    mastodonic
93 437 422  15      0         0  20 11001111101111100111011111 LHS onic       dot       
94 449 432  17      0         0  20 11001111101111100111011111 RHS cappuc     cappuccino
95 449 435  14      0         0  20 11001111101111100111011111 RHS cap        cup       
96 449 439  10      0         0  21 11001111101111110111011111 LHS k          pack      
97 461 447  14      0         0  22 11011111101111110111011111 RHS casewor    casework  
98 461 450  11      0         0  22 11011111101111110111011111 RHS case       row       
99 461 452   9      0         0  22 11011111101111110111011111 RHS ca         es        
