d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  55  10  45      0         0   8 00000110001111000100000001 LHS amputation amputation
 2  55  12  43      0         0   8 00000110001111000100000001 LHS putation   ma        
 3  55  14  41      0         0   8 00000110001111000100000001 LHS tation     up        
 4  55  16  39      0         0   8 00000110001111000100000001 LHS tion       at        
 5  55  18  37      0         0   8 00000110001111000100000001 LHS on         it        
 6  61  24  37      0         0   9 00000110001111100100000001 RHS lati       latino    
 7  75  36  39      0         0  10 00000110001111100101000001 LHS ianating   italianating
 8  75  38  37      0         0  10 00000110001111100101000001 LHS nating     ai        
 9  75  41  34      0         0  10 00000110001111100101000001 LHS ing        tan       
10  75  46  29      0         0  12 00000111001111100101010001 RHS se         segni     
11  81  52  29      0         0  13 00000111101111100101010001 LHS ters       esters    
12  81  55  26      0         0  13 00000111101111100101010001 LHS s          ret       
13  89  62  27      0         0  15 00000111101111100101010111 RHS cablet     cablets   
14  89  65  24      0         0  15 00000111101111100101010111 RHS cab        tel       
15  95  71  24      0         0  15 00000111101111100101010111 LHS ons        bacons    
16  95  73  22      0         0  15 00000111101111100101010111 LHS s          no        
17 105  79  26      0         0  15 00000111101111100101010111 RHS pupil      pupils    
18 105  81  24      0         0  15 00000111101111100101010111 RHS pup        li        
19 113  89  24      0         0  16 01000111101111100101010111 LHS ilary      pupilary  
20 113  91  22      0         0  16 01000111101111100101010111 LHS ary        li        
21 115  95  20      0         0  16 01000111101111100101010111 RHS e          eyra      
22 117  97  20      0         0  16 01000111101111100101010111 LHS t          et        
23 127 104  23      0         0  17 01000111101111100111010111 RHS halber     halbert   
24 127 106  21      0         0  17 01000111101111100111010111 RHS halb       re        
25 127 110  17      0         0  17 01000111101111100111010111 NIL NIL        blah      
26 139 117  22      0         0  18 01001111101111100111010111 LHS mislive    mislive   
27 139 120  19      0         0  18 01001111101111100111010111 LHS live       sim       
28 139 124  15      0         0  18 01001111101111100111010111 NIL NIL        evil      
29 159 134  25      0         0  18 01001111101111100111010111 LHS sleepovers sleepovers
30 159 137  22      0         0  18 01001111101111100111010111 LHS epovers    els       
31 159 140  19      0         0  18 01001111101111100111010111 LHS vers       ope       
32 159 143  16      0         0  18 01001111101111100111010111 LHS s          rev       
33 175 153  22      0         0  19 01001111101111100111011111 RHS cnidarian  cnidarians
34 175 158  17      0         0  19 01001111101111100111011111 RHS cnid       naira     
35 175 161  14      0         0  19 01001111101111100111011111 RHS c          din       
35 175 161  14      0         0  19 01001111101111100111011111 RHS c          din       
36 183 166  17      0         0  19 01001111101111100111011111 LHS hars       chars     
37 183 169  14      0         0  19 01001111101111100111011111 LHS s          rah       
37 183 169  14      0         0  19 01001111101111100111011111 LHS s          rah       
38 201 179  22      0         0  19 01001111101111100111011111 RHS demitasse  demitasses
39 201 181  20      0         0  19 01001111101111100111011111 RHS demitas    es        
