d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   5  48      0         0   4 00000001100100000000010000 LHS erose      erose     
 2  53   7  46      0         0   4 00000001100100000000010000 LHS ose        re        
 3  53   9  44      0         0   4 00000001100100000000010000 LHS e          so        
 4  59  21  38      0         0  12 00001111100111000100010101 RHS consummativ consummative
 5  59  25  34      0         0  12 00001111100111000100010101 RHS consumm    vita      
 6  59  27  32      0         0  12 00001111100111000100010101 RHS consu      mm        
 7  59  29  30      0         0  12 00001111100111000100010101 RHS con        us        
 8  59  33  26      0         0  13 00001111100111010100010101 LHS k          nock      
 9  69  41  28      0         0  15 00001111100111110100010111 RHS iceblin    iceblink  
10  69  44  25      0         0  15 00001111100111110100010111 RHS iceb       nil       
11  69  46  23      0         0  15 00001111100111110100010111 RHS ic         be        
12  79  54  25      0         0  16 10001111100111110100010111 LHS tizens     citizens  
13  79  57  22      0         0  16 10001111100111110100010111 LHS ens        zit       
14  85  64  21      0         0  17 10001111100111110100011111 RHS deme       demesne   
15  85  66  19      0         0  17 10001111100111110100011111 RHS de         em        
16  89  70  19      0         0  17 10001111100111110100011111 LHS it         edit      
17 103  79  24      0         0  17 10001111100111110100011111 RHS sostenu    sostenuti 
18 103  81  22      0         0  17 10001111100111110100011111 RHS soste      un        
19 103  83  20      0         0  17 10001111100111110100011111 RHS sos        et        
20 103  85  18      0         0  17 10001111100111110100011111 RHS s          so        
21 123  98  25      0         0  19 11001111100111110101011111 LHS edimentology sedimentology
22 123 100  23      0         0  19 11001111100111110101011111 LHS imentology de        
23 123 102  21      0         0  19 11001111100111110101011111 LHS entology   mi        
24 123 104  19      0         0  19 11001111100111110101011111 LHS tology     ne        
25 123 107  16      0         0  19 11001111100111110101011111 LHS ogy        lot       
26 123 109  14      0         0  19 11001111100111110101011111 LHS y          go        
27 147 122  25      0         0  19 11001111100111110101011111 RHS integumentar integumentary
28 147 125  22      0         0  19 11001111100111110101011111 RHS integumen  rat       
29 147 127  20      0         0  19 11001111100111110101011111 RHS integum    ne        
30 147 130  17      0         0  19 11001111100111110101011111 RHS inte       mug       
31 147 132  15      0         0  19 11001111100111110101011111 RHS in         et        
