d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   7  46      0         0   6 00010000100000100001011000 LHS wergeld    wergeld   
 2  53  11  42      0         0   6 00010000100000100001011000 LHS eld        grew      
 3  53  17  36      0         0   9 00010000100110100001111000 RHS fon        fondle    
 4  53  19  34      0         0   9 00010000100110100001111000 RHS f          no        
 5  65  31  34      0         0  14 00010011100110100101111101 LHS antasticate fantasticate
 6  65  33  32      0         0  14 00010011100110100101111101 LHS tasticate  na        
 7  65  36  29      0         0  14 00010011100110100101111101 LHS ticate     sat       
 8  65  41  24      0         0  14 00010011100110100101111101 LHS e          tacit     
 9  71  46  25      0         0  15 00010011101110100101111101 RHS agap       agape     
10  81  56  25      0         0  16 10010011101110100101111101 LHS nizers     paganizers
11  81  59  22      0         0  16 10010011101110100101111101 LHS ers        zin       
12  81  61  20      0         0  16 10010011101110100101111101 LHS s          re        
13  91  68  23      0         0  17 10010011101111100101111101 RHS retrim     retrims   
14  91  71  20      0         0  17 10010011101111100101111101 RHS ret        mir       
15 105  81  24      0         0  17 10010011101111100101111101 LHS atomata    teratomata
16 105  83  22      0         0  17 10010011101111100101111101 LHS omata      ta        
17 105  85  20      0         0  17 10010011101111100101111101 LHS ata        mo        
18 117  94  23      0         0  17 10010011101111100101111101 RHS diplom     diplomata 
19 117  97  20      0         0  17 10010011101111100101111101 RHS dip        mol       
20 123 103  20      0         0  17 10010011101111100101111101 LHS dle        piddle    
21 129 109  20      0         0  17 10010011101111100101111101 RHS afi        afield    
22 129 111  18      0         0  17 10010011101111100101111101 RHS a          if        
23 145 121  24      0         0  18 10010011101111100101111111 LHS erobatics  aerobatics
24 145 124  21      0         0  18 10010011101111100101111111 LHS batics     ore       
25 145 127  18      0         0  18 10010011101111100101111111 LHS ics        tab       
26 147 131  16      0         0  18 10010011101111100101111111 RHS a          asci      
27 157 137  20      0         0  18 10010011101111100101111111 LHS sters      asters    
28 157 141  16      0         0  18 10010011101111100101111111 LHS s          rets      
29 169 150  19      0         0  20 10010111101111100111111111 RHS tarbushe   tarbushes 
30 169 152  17      0         0  20 10010111101111100111111111 RHS tarbus     eh        
31 169 155  14      0         0  20 10010111101111100111111111 RHS tar        sub       
32 179 163  16      0         0  20 10010111101111100111111111 LHS lines      ratlines  
33 179 166  13      0         0  20 10010111101111100111111111 LHS es         nil       
34 189 174  15      0         0  21 10011111101111100111111111 RHS overdo     overdose  
35 189 176  13      0         0  21 10011111101111100111111111 RHS over       od        
36 193 182  11      0         0  21 10011111101111100111111111 LHS lt         revolt    
36 193 182  11      0         0  21 10011111101111100111111111 LHS lt         revolt    
37 197 186  11      0         0  21 10011111101111100111111111 RHS ro         rotl      
38 211 195  16      0         0  21 10011111101111100111111111 LHS ibatids    oribatids 
39 211 197  14      0         0  21 10011111101111100111111111 LHS atids      bi        
40 211 201  10      0         0  21 10011111101111100111111111 LHS s          dita      
41 227 210  17      0         0  21 10011111101111100111111111 RHS litterer   litterers 
42 227 212  15      0         0  21 10011111101111100111111111 RHS litter     re        
43 227 215  12      0         0  21 10011111101111100111111111 RHS lit        ret       
44 237 223  14      0         0  21 10011111101111100111111111 LHS lable      tillable  
45 237 226  11      0         0  21 10011111101111100111111111 LHS le         bal       
46 243 231  12      0         0  21 10011111101111100111111111 RHS bag        bagel     
46 243 231  12      0         0  21 10011111101111100111111111 RHS bag        bagel     
47 249 237  12      0         0  21 10011111101111100111111111 LHS bed        gabbed    
48 249 240   9      0         0  21 10011111101111100111111111 NIL NIL        deb       
49 265 248  17      0         0  21 10011111101111100111111111 LHS forewarn   forewarn  
50 265 250  15      0         0  21 10011111101111100111111111 LHS rewarn     of        
51 265 255  10      0         0  21 10011111101111100111111111 LHS n          rawer     
52 273 260  13      0         0  21 10011111101111100111111111 RHS rewo       rewon     
53 273 263  10      0         0  21 10011111101111100111111111 RHS r          owe       
54 281 268  13      0         0  21 10011111101111100111111111 LHS ehem       rehem     
55 281 270  11      0         0  21 10011111101111100111111111 LHS em         he        
56 291 277  14      0         0  21 10011111101111100111111111 RHS bedti      bedtime   
