d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  57   9  48      0         0   6 00000011000011000100000001 LHS satanisms  satanisms 
 2  57  12  45      0         0   6 00000011000011000100000001 LHS anisms     tas       
 3  57  14  43      0         0   6 00000011000011000100000001 LHS isms       na        
 4  57  16  41      0         0   6 00000011000011000100000001 LHS ms         si        
 5  65  24  41      0         0   8 00000011100011000100001001 RHS triadi     triadism  
 6  65  26  39      0         0   8 00000011100011000100001001 RHS tria       id        
 7  67  33  34      0         0  10 00000011100011000110011001 LHS hed        airthed   
 8  67  35  32      0         0  10 00000011100011000110011001 LHS d          eh        
 8  67  35  32      0         0  10 00000011100011000110011001 LHS d          eh        
 9  73  43  30      0         0  14 00000111100111000110111101 RHS confoun    confound  
10  73  45  28      0         0  14 00000111100111000110111101 RHS confo      nu        
11  73  47  26      0         0  14 00000111100111000110111101 RHS con        of        
11  73  47  26      0         0  14 00000111100111000110111101 RHS con        of        
11  73  47  26      0         0  14 00000111100111000110111101 RHS con        of        
11  73  47  26      0         0  14 00000111100111000110111101 RHS con        of        
11  73  47  26      0         0  14 00000111100111000110111101 RHS con        of        
12  75  52  23      0         0  15 00000111100111010110111101 LHS ks         nocks     
13  79  56  23      0         0  15 00000111100111010110111101 RHS du         dusk      
13  79  56  23      0         0  15 00000111100111010110111101 RHS du         dusk      
13  79  56  23      0         0  15 00000111100111010110111101 RHS du         dusk      
13  79  56  23      0         0  15 00000111100111010110111101 RHS du         dusk      
14  81  59  22      0         0  15 00000111100111010110111101 LHS o          udo       
14  81  59  22      0         0  15 00000111100111010110111101 LHS o          udo       
14  81  59  22      0         0  15 00000111100111010110111101 LHS o          udo       
14  81  59  22      0         0  15 00000111100111010110111101 LHS o          udo       
15  87  65  22      0         0  17 00000111100111110111111101 RHS lanug      lanugo    
16  87  68  19      0         0  17 00000111100111110111111101 RHS la         gun       
16  87  68  19      0         0  17 00000111100111110111111101 RHS la         gun       
16  87  68  19      0         0  17 00000111100111110111111101 RHS la         gun       
16  87  68  19      0         0  17 00000111100111110111111101 RHS la         gun       
16  87  68  19      0         0  17 00000111100111110111111101 RHS la         gun       
16  87  68  19      0         0  17 00000111100111110111111101 RHS la         gun       
17  89  71  18      0         0  17 00000111100111110111111101 LHS s          als       
18  95  77  18      0         0  19 00000111101111111111111101 RHS japer      japers    
19  95  80  15      0         0  19 00000111101111111111111101 RHS ja         rep       
19  95  80  15      0         0  19 00000111101111111111111101 RHS ja         rep       
20  99  84  15      0         0  19 00000111101111111111111101 LHS ar         ajar      
20  99  84  15      0         0  19 00000111101111111111111101 LHS ar         ajar      
20  99  84  15      0         0  19 00000111101111111111111101 LHS ar         ajar      
20  99  84  15      0         0  19 00000111101111111111111101 LHS ar         ajar      
21 103  88  15      0         0  19 00000111101111111111111101 RHS mo         mora      
21 103  88  15      0         0  19 00000111101111111111111101 RHS mo         mora      
21 103  88  15      0         0  19 00000111101111111111111101 RHS mo         mora      
21 103  88  15      0         0  19 00000111101111111111111101 RHS mo         mora      
22 107  92  15      0         0  19 00000111101111111111111101 LHS en         omen      
23 111  96  15      0         0  19 00000111101111111111111101 RHS ge         gene      
23 111  96  15      0         0  19 00000111101111111111111101 RHS ge         gene      
23 111  96  15      0         0  19 00000111101111111111111101 RHS ge         gene      
23 111  96  15      0         0  19 00000111101111111111111101 RHS ge         gene      
23 111  96  15      0         0  19 00000111101111111111111101 RHS ge         gene      
24 115 100  15      0         0  19 00000111101111111111111101 LHS is         egis      
24 115 100  15      0         0  19 00000111101111111111111101 LHS is         egis      
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
25 117 103  14      0         0  19 00000111101111111111111101 RHS p          psi       
26 121 107  14      0         0  20 00010111101111111111111101 LHS row        prow      
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
27 121 109  12      0         0  20 00010111101111111111111101 LHS w          or        
28 123 112  11      0         0  21 01010111101111111111111101 RHS yo         yow       
28 123 112  11      0         0  21 01010111101111111111111101 RHS yo         yow       
28 123 112  11      0         0  21 01010111101111111111111101 RHS yo         yow       
28 123 112  11      0         0  21 01010111101111111111111101 RHS yo         yow       
28 123 112  11      0         0  21 01010111101111111111111101 RHS yo         yow       
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
29 127 116  11      0         0  21 01010111101111111111111101 LHS er         oyer      
30 131 120  11      0         0  21 01010111101111111111111101 RHS de         dere      
30 131 120  11      0         0  21 01010111101111111111111101 RHS de         dere      
