d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  55   7  48      0         0   5 00000000100000100001010001 LHS realgar    realgar   
 2  55   9  46      0         0   5 00000000100000100001010001 LHS algar      er        
 3  55  11  44      0         0   5 00000000100000100001010001 LHS gar        la        
 4  55  15  40      0         0   6 00000000100000100001011001 RHS d          drag      
 5  59  22  37      0         0  10 00000001101100100101011001 LHS ipoles     dipoles   
 6  59  24  35      0         0  10 00000001101100100101011001 LHS oles       pi        
 7  59  26  33      0         0  10 00000001101100100101011001 LHS es         lo        
 8  69  33  36      0         0  10 00000001101100100101011001 RHS dispo      dispose   
 9  69  36  33      0         0  10 00000001101100100101011001 RHS di         ops       
10  79  43  36      0         0  10 00000001101100100101011001 LHS lesse      idlesse   
11  79  49  30      0         0  11 00001001101100100101011001 RHS v          vessel    
12  83  52  31      0         0  11 00001001101100100101011001 LHS as         vas       
13  87  57  30      0         0  12 00001001101100100101011011 RHS bal        balsa     
14  87  59  28      0         0  12 00001001101100100101011011 RHS b          la        
15 101  68  33      0         0  13 00001001101101100101011011 LHS emedaled   bemedaled 
16 101  71  30      0         0  13 00001001101101100101011011 LHS daled      eme       
17 101  73  28      0         0  13 00001001101101100101011011 LHS led        ad        
18 113  83  30      0         0  14 00001101101101100101011011 RHS supermo    supermodel
19 113  85  28      0         0  14 00001101101101100101011011 RHS super      om        
20 113  87  26      0         0  14 00001101101101100101011011 RHS sup        re        
21 125  98  27      0         0  16 00001111101111100101011011 LHS tulation   pustulation
22 125 100  25      0         0  16 00001111101111100101011011 LHS lation     ut        
23 125 102  23      0         0  16 00001111101111100101011011 LHS tion       al        
24 125 104  21      0         0  16 00001111101111100101011011 LHS on         it        
25 131 109  22      0         0  16 00001111101111100101011011 RHS ste        steno     
26 131 111  20      0         0  16 00001111101111100101011011 RHS s          et        
27 139 119  20      0         0  19 00001111101111110111011111 LHS hellack    shellack  
28 139 121  18      0         0  19 00001111101111110111011111 LHS llack      eh        
29 139 125  14      0         0  19 00001111101111110111011111 LHS k          call      
30 145 129  16      0         0  19 00001111101111110111011111 RHS ran        rank      
31 161 140  21      0         0  19 00001111101111110111011111 LHS cissists   narcissists
32 161 143  18      0         0  19 00001111101111110111011111 LHS sists      sic       
33 161 146  15      0         0  19 00001111101111110111011111 LHS ts         sis       
34 169 152  17      0         0  19 00001111101111110111011111 RHS game       gamest    
35 169 154  15      0         0  19 00001111101111110111011111 RHS ga         em        
36 181 163  18      0         0  20 00011111101111110111011111 LHS alwoods    agalwoods 
37 181 165  16      0         0  20 00011111101111110111011111 LHS woods      la        
38 181 167  14      0         0  20 00011111101111110111011111 LHS ods        ow        
39 185 172  13      0         0  20 00011111101111110111011111 RHS mi         misdo     
39 185 172  13      0         0  20 00011111101111110111011111 RHS mi         misdo     
39 185 172  13      0         0  20 00011111101111110111011111 RHS mi         misdo     
40 197 180  17      0         0  20 00011111101111110111011111 LHS balmer     imbalmer  
41 197 183  14      0         0  20 00011111101111110111011111 LHS mer        lab       
41 197 183  14      0         0  20 00011111101111110111011111 LHS mer        lab       
42 197 185  12      0         0  20 00011111101111110111011111 LHS r          em        
43 213 194  19      0         0  20 00011111101111110111011111 RHS bedwette   bedwetter 
44 213 196  17      0         0  20 00011111101111110111011111 RHS bedwet     et        
45 213 199  14      0         0  20 00011111101111110111011111 RHS bed        tew       
46 213 202  11      0         0  20 00011111101111110111011111 NIL NIL        deb       
46 213 202  11      0         0  20 00011111101111110111011111 NIL NIL        deb       
47 223 207  16      0         0  20 00011111101111110111011111 LHS poked      poked     
48 223 210  13      0         0  20 00011111101111110111011111 LHS ed         kop       
48 223 210  13      0         0  20 00011111101111110111011111 LHS ed         kop       
49 229 215  14      0         0  20 00011111101111110111011111 RHS ami        amide     
50 235 221  14      0         0  20 00011111101111110111011111 LHS ges        images    
51 235 224  11      0         0  20 00011111101111110111011111 NIL NIL        seg       
52 261 238  23      0         0  21 01011111101111110111011111 LHS impracticality impracticality
53 261 240  21      0         0  21 01011111101111110111011111 LHS practicality mi        
54 261 244  17      0         0  21 01011111101111110111011111 LHS ticality   carp      
55 261 246  15      0         0  21 01011111101111110111011111 LHS cality     it        
56 261 249  12      0         0  21 01011111101111110111011111 LHS ity        lac       
57 261 251  10      0         0  21 01011111101111110111011111 LHS y          ti        
58 279 261  18      0         0  21 01011111101111110111011111 RHS speciosit  speciosity
59 279 263  16      0         0  21 01011111101111110111011111 RHS specios    ti        
60 279 265  14      0         0  21 01011111101111110111011111 RHS speci      so        
61 279 268  11      0         0  21 01011111101111110111011111 RHS sp         ice       
61 279 268  11      0         0  21 01011111101111110111011111 RHS sp         ice       
62 291 276  15      0         0  21 01011111101111110111011111 LHS alming     psalming  
63 291 278  13      0         0  21 01011111101111110111011111 LHS ming       la        
64 291 281  10      0         0  21 01011111101111110111011111 LHS g          nim       
64 291 281  10      0         0  21 01011111101111110111011111 LHS g          nim       
64 291 281  10      0         0  21 01011111101111110111011111 LHS g          nim       
65 311 292  19      0         0  21 01011111101111110111011111 RHS repudiatin repudiating
66 311 295  16      0         0  21 01011111101111110111011111 RHS repudia    nit       
67 311 297  14      0         0  21 01011111101111110111011111 RHS repud      ai        
68 311 301  10      0         0  21 01011111101111110111011111 RHS r          dupe      
69 323 308  15      0         0  21 01011111101111110111011111 LHS eadout     readout   
70 323 310  13      0         0  21 01011111101111110111011111 LHS dout       ae        
71 323 312  11      0         0  21 01011111101111110111011111 LHS ut         od        
72 331 318  13      0         0  21 01011111101111110111011111 RHS mani       manitu    
73 343 328  15      0         0  21 01011111101111110111011111 LHS oratas     inamoratas
74 343 332  11      0         0  21 01011111101111110111011111 LHS as         taro      
75 355 340  15      0         0  21 01011111101111110111011111 RHS marche     marchesa  
76 355 342  13      0         0  21 01011111101111110111011111 RHS marc       eh        
77 359 348  11      0         0  21 01011111101111110111011111 LHS ps         cramps    
78 363 352  11      0         0  21 01011111101111110111011111 RHS wi         wisp      
79 367 356  11      0         0  21 01011111101111110111011111 LHS is         iwis      
80 379 364  15      0         0  21 01011111101111110111011111 RHS parche     parchesi  
81 379 366  13      0         0  21 01011111101111110111011111 RHS parc       eh        
82 395 378  17      0         0  21 01011111101111110111011111 LHS shooters   crapshooters
83 395 381  14      0         0  21 01011111101111110111011111 LHS oters      ohs       
84 395 383  12      0         0  21 01011111101111110111011111 LHS ers        to        
85 395 385  10      0         0  21 01011111101111110111011111 LHS s          re        
85 395 385  10      0         0  21 01011111101111110111011111 LHS s          re        
86 403 390  13      0         0  21 01011111101111110111011111 RHS dite       dites     
