d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0   0   0   0      1         1   0 00000000000000000000000000 NIL NIL        NIL       
 1  31   3  28      1         1   3 00000000000000000000000111 LHS abc        abc       
 2  62  11  51      1         1   8 00000000000000000011111111 RHS hgfed      hgfedcba  
 3  62  19  43      1         1  11 00000000000000011111111111 LHS ijk        defghijk  
 4  62  26  36      1         1  15 00000000000111111111111111 RHS onml       onmlkji   
 5  62  31  31      2         2  16 00000000001111111111111111 LHS p          lmnop     
 6  93  36  57      1         2  16 00000000001111111111111111 RHS lmno       lmnop     
 7  93  43  50      1         2  16 00000000001111111111111111 LHS kji        onmlkji   
 8  93  51  42      1         2  16 00000000001111111111111111 RHS defgh      defghijk  
 9  93  59  34      1         2  16 00000000001111111111111111 LHS cba        hgfedcba  
10  93  62  31      1         2  16 00000000001111111111111111 NIL NIL        abc       
11  93  65  28      1         2  16 00000000001111111111111111 LHS abc        abc       
 6 102  42  60      1         2  26 11111111111111111111111111 RHS zyxwvutsrq zyxwvutsrqp
 7 102  47  55      1         2  26 11111111111111111111111111 RHS zyxwv      qrstu     
 8 102  51  51      0         1  26 11111111111111111111111111 RHS z          vwxy      
