d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   5  48      0         0   4 00000000001100000000011000 LHS epode      epode     
 2  53   8  45      0         0   4 00000000001100000000011000 LHS de         ope       
 3  57  15  42      0         0   7 00000000001100100010011001 RHS hallo      halloed   
 4  57  19  38      0         0   7 00000000001100100010011001 RHS h          olla      
 5  67  28  39      0         0  10 00001001101100100010011001 LHS oldovers   holdovers 
 6  67  30  37      0         0  10 00001001101100100010011001 LHS dovers     lo        
 7  67  32  35      0         0  10 00001001101100100010011001 LHS vers       od        
 8  67  35  32      0         0  10 00001001101100100010011001 LHS s          rev       
 9  73  44  29      0         0  15 00001011101111100110011101 RHS coinmate   coinmates 
10  73  46  27      0         0  15 00001011101111100110011101 RHS coinma     et        
11  87  59  28      0         0  15 00001011101111100110011101 LHS enteses    amniocenteses
12  87  61  26      0         0  15 00001011101111100110011101 LHS teses      ne        
13  87  64  23      0         0  15 00001011101111100110011101 LHS es         set       
14  97  72  25      0         0  16 00001111101111100110011101 RHS convul     convulse  
15  97  75  22      0         0  16 00001111101111100110011101 RHS con        luv       
16  97  77  20      0         0  16 00001111101111100110011101 RHS c          no        
16  97  77  20      0         0  16 00001111101111100110011101 RHS c          no        
16  97  77  20      0         0  16 00001111101111100110011101 RHS c          no        
17 107  83  24      0         0  16 00001111101111100110011101 LHS anard      canard    
18 107  85  22      0         0  16 00001111101111100110011101 LHS ard        na        
19 113  91  22      0         0  16 00001111101111100110011101 RHS tun        tundra    
20 113  93  20      0         0  16 00001111101111100110011101 RHS t          nu        
20 113  93  20      0         0  16 00001111101111100110011101 RHS t          nu        
21 123  99  24      0         0  16 00001111101111100110011101 LHS ossup      tossup    
22 123 101  22      0         0  16 00001111101111100110011101 LHS sup        so        
23 129 108  21      0         0  17 00001111101111100111011101 RHS gram       grampus   
24 131 113  18      0         0  17 00001111101111100111011101 LHS e          marge     
25 141 121  20      0         0  19 10011111101111100111011101 RHS womaniz    womanize  
26 141 124  17      0         0  19 10011111101111100111011101 RHS woma       zin       
27 141 126  15      0         0  19 10011111101111100111011101 RHS wo         am        
28 143 129  14      0         0  19 10011111101111100111011101 LHS n          own       
28 143 129  14      0         0  19 10011111101111100111011101 LHS n          own       
29 161 139  22      0         0  19 10011111101111100111011101 RHS interocea  interocean
30 161 141  20      0         0  19 10011111101111100111011101 RHS interoc    ae        
31 161 144  17      0         0  19 10011111101111100111011101 RHS inte       cor       
32 161 146  15      0         0  19 10011111101111100111011101 RHS in         et        
33 169 152  17      0         0  19 10011111101111100111011101 LHS trid       nitrid    
34 169 156  13      0         0  19 10011111101111100111011101 NIL NIL        dirt      
34 169 156  13      0         0  19 10011111101111100111011101 NIL NIL        dirt      
34 169 156  13      0         0  19 10011111101111100111011101 NIL NIL        dirt      
35 177 161  16      0         0  20 11011111101111100111011101 LHS rawly      rawly     
36 177 164  13      0         0  20 11011111101111100111011101 LHS ly         war       
37 181 168  13      0         0  20 11011111101111100111011101 RHS od         odyl      
38 191 175  16      0         0  20 11011111101111100111011101 LHS odads      doodads   
39 191 179  12      0         0  20 11011111101111100111011101 LHS s          dado      
40 213 191  22      0         0  20 11011111101111100111011101 RHS cyanogenesi cyanogenesis
41 213 193  20      0         0  20 11011111101111100111011101 RHS cyanogene  is        
42 213 195  18      0         0  20 11011111101111100111011101 RHS cyanoge    en        
43 213 198  15      0         0  20 11011111101111100111011101 RHS cyan       ego       
44 213 201  12      0         0  20 11011111101111100111011101 RHS c          nay       
45 229 210  19      0         0  20 11011111101111100111011101 LHS ontusing   contusing 
46 229 212  17      0         0  20 11011111101111100111011101 LHS tusing     no        
47 229 214  15      0         0  20 11011111101111100111011101 LHS sing       ut        
48 229 216  13      0         0  20 11011111101111100111011101 LHS ng         is        
48 229 216  13      0         0  20 11011111101111100111011101 LHS ng         is        
49 245 226  19      0         0  20 11011111101111100111011101 RHS overdesi   overdesign
50 245 228  17      0         0  20 11011111101111100111011101 RHS overde     is        
51 245 230  15      0         0  20 11011111101111100111011101 RHS over       ed        
52 251 237  14      0         0  20 11011111101111100111011101 LHS ted        revoted   
53 251 239  12      0         0  20 11011111101111100111011101 LHS d          et        
53 251 239  12      0         0  20 11011111101111100111011101 LHS d          et        
54 259 243  16      0         0  20 11011111101111100111011101 RHS cue        cued      
55 265 250  15      0         0  20 11011111101111100111011101 LHS aine       eucaine   
56 265 255  10      0         0  21 11111111101111100111011101 RHS x          xenia     
57 273 260  13      0         0  21 11111111101111100111011101 LHS erox       xerox     
58 273 262  11      0         0  21 11111111101111100111011101 LHS ox         re        
59 275 265  10      0         0  21 11111111101111100111011101 RHS o          oxo       
60 293 275  18      0         0  22 11111111101111100111011111 LHS stensibly  ostensibly
61 293 279  14      0         0  22 11111111101111100111011111 LHS sibly      nets      
62 293 282  11      0         0  22 11111111101111100111011111 LHS ly         bis       
63 303 290  13      0         0  22 11111111101111100111011111 RHS carbam     carbamyl  
64 303 292  11      0         0  22 11111111101111100111011111 RHS carb       ma        
65 311 300  11      0         0  22 11111111101111100111011111 LHS elet       bracelet  
66 323 310  13      0         0  22 11111111101111100111011111 RHS protos     protostele
67 323 312  11      0         0  22 11111111101111100111011111 RHS prot       so        
68 329 319  10      0         0  22 11111111101111100111011111 LHS edo        torpedo   
69 335 325  10      0         0  22 11111111101111100111011111 RHS rec        recode    
70 345 332  13      0         0  22 11111111101111100111011111 LHS tain       certain   
71 345 334  11      0         0  22 11111111101111100111011111 LHS in         at        
71 345 334  11      0         0  22 11111111101111100111011111 LHS in         at        
72 351 340  11      0         0  22 11111111101111100111011111 RHS casi       casini    
73 351 342   9      0         0  22 11111111101111100111011111 RHS ca         is        
74 375 356  19      0         0  22 11111111101111100111011111 LHS cessibleness accessibleness
75 375 359  16      0         0  22 11111111101111100111011111 LHS sibleness  sec       
76 375 362  13      0         0  22 11111111101111100111011111 LHS leness     bis       
77 375 364  11      0         0  22 11111111101111100111011111 LHS ness       el        
78 375 366   9      0         0  22 11111111101111100111011111 LHS ss         en        
79 387 374  13      0         0  23 11111111101111100111111111 RHS selfle     selfless  
80 387 377  10      0         0  23 11111111101111100111111111 RHS sel        elf       
81 391 383   8      0         0  23 11111111101111100111111111 LHS see        lessee    
82 397 387  10      0         0  24 11111111101111101111111111 RHS j          jees      
83 411 395  16      0         0  24 11111111101111101111111111 LHS aponica    japonica  
84 411 397  14      0         0  24 11111111101111101111111111 LHS onica      pa        
85 411 399  12      0         0  24 11111111101111101111111111 LHS ica        no        
86 413 405   8      0         0  24 11111111101111101111111111 RHS bon        bonaci    
87 427 415  12      0         0  24 11111111101111101111111111 LHS lewoman    noblewoman
88 427 417  10      0         0  24 11111111101111101111111111 LHS woman      el        
89 427 420   7      0         0  24 11111111101111101111111111 LHS an         mow       
89 427 420   7      0         0  24 11111111101111101111111111 LHS an         mow       
