d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   8  45      0         0   7 01000001000101000000011001 LHS domesday   domesday  
 2  53  10  43      0         0   7 01000001000101000000011001 LHS mesday     od        
 3  53  12  41      0         0   7 01000001000101000000011001 LHS sday       em        
 4  53  15  38      0         0   7 01000001000101000000011001 LHS y          ads       
 5  59  22  37      0         0  10 01000001100101100100011001 RHS roomil     roomily   
 6  59  26  33      0         0  10 01000001100101100100011001 RHS ro         limo      
 6  59  26  33      0         0  10 01000001100101100100011001 RHS ro         limo      
 6  59  26  33      0         0  10 01000001100101100100011001 RHS ro         limo      
 6  59  26  33      0         0  10 01000001100101100100011001 RHS ro         limo      
 7  65  33  32      0         0  12 01100011100101100100011001 LHS atrix      oratrix   
 8  65  35  30      0         0  12 01100011100101100100011001 LHS rix        ta        
 9  71  41  30      0         0  12 01100011100101100100011001 RHS eli        elixir    
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
10  73  46  27      0         0  13 01100111100101100100011001 LHS us         ileus     
11  81  54  27      0         0  15 11100111100101100100011011 RHS zaibat     zaibatsu  
12  81  56  25      0         0  15 11100111100101100100011011 RHS zaib       ta        
13  81  58  23      0         0  15 11100111100101100100011011 RHS za         bi        
14  85  63  22      0         0  16 11100111100111100100011011 LHS ine        azine     
15  91  69  22      0         0  16 11100111100111100100011011 RHS sil        sileni    
15  91  69  22      0         0  16 11100111100111100100011011 RHS sil        sileni    
16  97  75  22      0         0  16 11100111100111100100011011 LHS som        lissom    
17 103  82  21      0         0  17 11100111101111100100011011 RHS para       paramos   
18 103  84  19      0         0  17 11100111101111100100011011 RHS pa         ar        
18 103  84  19      0         0  17 11100111101111100100011011 RHS pa         ar        
18 103  84  19      0         0  17 11100111101111100100011011 RHS pa         ar        
18 103  84  19      0         0  17 11100111101111100100011011 RHS pa         ar        
18 103  84  19      0         0  17 11100111101111100100011011 RHS pa         ar        
18 103  84  19      0         0  17 11100111101111100100011011 RHS pa         ar        
19 107  88  19      0         0  17 11100111101111100100011011 LHS ed         aped      
19 107  88  19      0         0  17 11100111101111100100011011 LHS ed         aped      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
20 109  92  17      0         0  18 11100111101111100100011111 RHS co         code      
21 113  96  17      0         0  18 11100111101111100100011111 LHS as         ocas      
