d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   6  47      0         0   5 00000011000110000000010000 LHS setons     setons    
 2  53  11  42      0         0   5 00000011000110000000010000 LHS s          notes     
 3  71  25  46      0         0   9 00000011001110000100011001 RHS endopeptidase endopeptidases
 4  71  27  44      0         0   9 00000011001110000100011001 RHS endopeptida es        
 5  71  31  40      0         0   9 00000011001110000100011001 RHS endopep    adit      
 6  71  33  38      0         0   9 00000011001110000100011001 RHS endop      pe        
 7  71  36  35      0         0   9 00000011001110000100011001 RHS en         pod       
 8  85  46  39      0         0  10 00000011001110000101011001 LHS gotiated   negotiated
 9  85  49  36      0         0  10 00000011001110000101011001 LHS iated      tog       
10  85  51  34      0         0  10 00000011001110000101011001 LHS ted        ai        
11  89  56  33      0         0  10 00000011001110000101011001 RHS go         godet     
12  93  61  32      0         0  11 00001011001110000101011001 LHS ive        ogive     
13  97  66  31      0         0  11 00001011001110000101011001 RHS na         naevi     
14 107  74  33      0         0  12 00001011101110000101011001 LHS serine     anserine  
15 109  81  28      0         0  12 00001011101110000101011001 RHS v          venires   
16 121  89  32      0         0  13 00001111101110000101011001 LHS iperous    viperous  
17 121  91  30      0         0  13 00001111101110000101011001 LHS erous      pi        
18 121  94  27      0         0  13 00001111101110000101011001 LHS us         ore       
19 129 101  28      0         0  14 00001111101110001101011001 RHS jujit      jujitsu   
20 129 103  26      0         0  14 00001111101110001101011001 RHS juj        ti        
20 129 103  26      0         0  14 00001111101110001101011001 RHS juj        ti        
21 131 107  24      0         0  14 00001111101110001101011001 LHS u          juju      
22 141 114  27      0         0  15 00001111101110001101011101 RHS turaco     turacou   
23 141 117  24      0         0  15 00001111101110001101011101 RHS tur        oca       
24 145 122  23      0         0  15 00001111101110001101011101 LHS in         rutin     
25 153 129  24      0         0  16 10001111101110001101011101 RHS zinga      zingani   
26 159 137  22      0         0  16 10001111101110001101011101 LHS ing        agnizing  
27 163 142  21      0         0  16 10001111101110001101011101 RHS se         segni     
28 177 152  25      0         0  17 10001111101110101101011101 LHS calating   escalating
29 177 155  22      0         0  17 10001111101110101101011101 LHS ating      lac       
30 177 157  20      0         0  17 10001111101110101101011101 LHS ing        ta        
31 181 162  19      0         0  17 10001111101110101101011101 RHS se         segni     
32 189 169  20      0         0  18 11001111101110101101011101 LHS sayed      essayed   
33 189 171  18      0         0  18 11001111101110101101011101 LHS yed        as        
34 189 174  15      0         0  18 11001111101110101101011101 NIL NIL        dey       
35 201 181  20      0         0  19 11001111101111101101011101 LHS mission    mission   
36 201 184  17      0         0  19 11001111101111101101011101 LHS sion       sim       
37 201 186  15      0         0  19 11001111101111101101011101 LHS on         is        
38 211 193  18      0         0  19 11001111101111101101011101 RHS madro      madrono   
39 211 195  16      0         0  19 11001111101111101101011101 RHS mad        or        
40 219 202  17      0         0  19 11001111101111101101011101 LHS mars       dammars   
