d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      5         5   0 00000000000000000000000000 NIL NIL        NIL       
 1  51   3  48      1         5   3 00000000000000000000000111 LHS abc        abc       
 2  51  11  40      1         5   8 00000000000000000011111111 RHS hgfed      hgfedcba  
 3  51  19  32      1         5  11 00000000000000011111111111 LHS ijk        defghijk  
 4  51  26  25      1         5  15 00000000000111111111111111 RHS onml       onmlkji   
 5  51  31  20      2         6  16 00000000001111111111111111 LHS p          lmnop     
 6  52  42  10      1         6  26 11111111111111111111111111 RHS zyxwvutsrq zyxwvutsrqp
 7  52  47   5      1         6  26 11111111111111111111111111 RHS zyxwv      qrstu     
 8  52  51   0      0         5  26 11111111111111111111111111 RHS z          vwxy      
