d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  59  13  46      0         0   9 00000010100111000101000101 LHS monogrammatic monogrammatic
 2  59  15  44      0         0   9 00000010100111000101000101 LHS nogrammatic om        
 3  59  20  39      0         0   9 00000010100111000101000101 LHS mmatic     argon     
 4  59  22  37      0         0   9 00000010100111000101000101 LHS atic       mm        
 5  59  24  35      0         0   9 00000010100111000101000101 LHS ic         ta        
 6  61  28  33      0         0  10 00000010100111100101000101 RHS lo         loci      
 7  65  34  31      0         0  12 00000010100111100101110101 LHS efin       olefin    
 8  65  39  26      0         0  13 00000010100111110101110101 RHS k          knife     
 9  77  48  29      0         0  15 00000011100111110101111101 LHS omondors   komondors 
10  77  50  27      0         0  15 00000011100111110101111101 LHS ondors     mo        
11  77  52  25      0         0  15 00000011100111110101111101 LHS dors       no        
12  77  55  22      0         0  15 00000011100111110101111101 LHS s          rod       
13  83  62  21      0         0  18 00010011101111110101111111 RHS beweep     beweeps   
14  83  64  19      0         0  18 00010011101111110101111111 RHS bewe       pe        
15  83  67  16      0         0  18 00010011101111110101111111 RHS b          ewe       
16  93  73  20      0         0  18 00010011101111110101111111 LHS oners      boners    
17  93  75  18      0         0  18 00010011101111110101111111 LHS ers        no        
18  93  77  16      0         0  18 00010011101111110101111111 LHS s          re        
18  93  77  16      0         0  18 00010011101111110101111111 LHS s          re        
19 103  84  19      0         0  19 01010011101111110101111111 RHS kersey     kerseys   
20 103  87  16      0         0  19 01010011101111110101111111 RHS ker        yes       
21 109  93  16      0         0  19 01010011101111110101111111 LHS nit        reknit    
22 115  99  16      0         0  19 01010011101111110101111111 RHS git        gittin    
23 121 106  15      0         0  20 01010011101111110111111111 LHS hter       tighter   
24 121 109  12      0         0  20 01010011101111110111111111 LHS r          eth       
24 121 109  12      0         0  20 01010011101111110111111111 LHS r          eth       
25 131 115  16      0         0  20 01010011101111110111111111 RHS holle      holler    
26 131 118  13      0         0  20 01010011101111110111111111 RHS ho         ell       
27 137 123  14      0         0  20 01010011101111110111111111 LHS ing        ohing     
28 141 128  13      0         0  20 01010011101111110111111111 RHS se         segni     
29 157 138  19      0         0  20 01010011101111110111111111 LHS calatory   escalatory
30 157 141  16      0         0  20 01010011101111110111111111 LHS atory      lac       
31 157 143  14      0         0  20 01010011101111110111111111 LHS ory        ta        
32 169 151  18      0         0  21 01010111101111110111111111 RHS autog      autogyro  
33 169 153  16      0         0  21 01010111101111110111111111 RHS aut        go        
34 173 160  13      0         0  21 01010111101111110111111111 LHS tera       tuatera   
35 179 167  12      0         0  21 01010111101111110111111111 RHS tab        tabaret   
36 185 173  12      0         0  21 01010111101111110111111111 LHS hos        bathos    
37 185 175  10      0         0  21 01010111101111110111111111 LHS s          oh        
38 199 183  16      0         0  21 01010111101111110111111111 RHS guarani    guaranis  
39 199 185  14      0         0  21 01010111101111110111111111 RHS guara      in        
40 199 187  12      0         0  21 01010111101111110111111111 RHS gua        ar        
41 207 194  13      0         0  21 01010111101111110111111111 LHS itic       augitic   
42 207 196  11      0         0  21 01010111101111110111111111 LHS ic         ti        
43 213 201  12      0         0  21 01010111101111110111111111 RHS far        farci     
44 221 208  13      0         0  21 01010111101111110111111111 LHS fles       raffles   
45 221 211  10      0         0  21 01010111101111110111111111 LHS s          elf       
46 237 220  17      0         0  21 01010111101111110111111111 RHS makebate   makebates 
47 237 223  14      0         0  21 01010111101111110111111111 RHS makeb      eta       
48 237 225  12      0         0  21 01010111101111110111111111 RHS mak        be        
49 243 231  12      0         0  21 01010111101111110111111111 LHS iks        kamiks    
49 243 231  12      0         0  21 01010111101111110111111111 LHS iks        kamiks    
49 243 231  12      0         0  21 01010111101111110111111111 LHS iks        kamiks    
50 255 240  15      0         0  21 01010111101111110111111111 RHS buttin     buttinski 
51 255 243  12      0         0  21 01010111101111110111111111 RHS but        nit       
52 257 247  10      0         0  21 01010111101111110111111111 LHS e          tube      
53 281 260  21      0         0  21 01010111101111110111111111 RHS underestimat underestimate
54 281 263  18      0         0  21 01010111101111110111111111 RHS underesti  tam       
55 281 266  15      0         0  21 01010111101111110111111111 RHS undere     its       
56 281 268  13      0         0  21 01010111101111110111111111 RHS unde       er        
57 281 270  11      0         0  21 01010111101111110111111111 RHS un         ed        
