d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  53   8  45      0         0   7 01000001000001100100001001 LHS dismally   dismally  
 2  53  10  43      0         0   7 01000001000001100100001001 LHS smally     id        
 3  53  14  39      0         0   7 01000001000001100100001001 LHS ly         lams      
 4  53  20  33      0         0  11 01000011101101100100001001 RHS prot       protyl    
 5  57  26  31      0         0  11 01000011101101100100001001 LHS or         torpor    
 6  63  32  31      0         0  12 01000011101101100100011001 RHS tore       torero    
 7  65  38  27      0         0  13 01000011101101100100011101 LHS ic         erotic    
 8  65  42  23      0         0  15 01000111101111100100011101 RHS un         unci      
 9  75  49  26      0         0  15 01000111101111100100011101 LHS anced      nuanced   
10  75  51  24      0         0  15 01000111101111100100011101 LHS ced        na        
11  79  56  23      0         0  15 01000111101111100100011101 RHS co         codec     
12  91  64  27      0         0  15 01000111101111100100011101 LHS tonary     octonary  
13  91  67  24      0         0  15 01000111101111100100011101 LHS ary        not       
14  93  71  22      0         0  15 01000111101111100100011101 RHS e          eyra      
15  97  74  23      0         0  15 01000111101111100100011101 LHS re         ere       
16 105  81  24      0         0  16 01000111101111100101011101 RHS gutsi      gutsier   
17 105  83  22      0         0  16 01000111101111100101011101 RHS gut        is        
18 107  87  20      0         0  16 01000111101111100101011101 LHS s          tugs      
18 107  87  20      0         0  16 01000111101111100101011101 LHS s          tugs      
19 117  93  24      0         0  16 01000111101111100101011101 RHS panne      pannes    
20 117  95  22      0         0  16 01000111101111100101011101 RHS pan        en        
21 129 104  25      0         0  16 01000111101111100101011101 LHS alming     napalming 
22 129 106  23      0         0  16 01000111101111100101011101 LHS ming       la        
23 129 109  20      0         0  16 01000111101111100101011101 LHS g          nim       
24 137 114  23      0         0  16 01000111101111100101011101 RHS glog       glogg     
25 143 122  21      0         0  17 01000111101111100111011101 LHS otha       golgotha  
26 143 124  19      0         0  17 01000111101111100111011101 LHS ha         to        
27 147 129  18      0         0  18 01000111101111100111011111 RHS obe        obeah     
28 157 138  19      0         0  19 11000111101111100111011111 LHS nizing     ebonizing 
29 157 141  16      0         0  19 11000111101111100111011111 LHS ing        zin       
30 161 146  15      0         0  19 11000111101111100111011111 RHS se         segni     
31 173 153  20      0         0  19 11000111101111100111011111 LHS trous      estrous   
32 173 156  17      0         0  19 11000111101111100111011111 LHS us         ort       
33 181 163  18      0         0  19 11000111101111100111011111 RHS babas      babassu   
34 181 166  15      0         0  19 11000111101111100111011111 RHS ba         sab       
35 189 172  17      0         0  19 11000111101111100111011111 LHS laut       ablaut    
36 211 187  24      0         0  19 11000111101111100111011111 RHS interpercep interperceptual
37 211 190  21      0         0  19 11000111101111100111011111 RHS interper   pec       
38 211 193  18      0         0  19 11000111101111100111011111 RHS inter      rep       
39 211 196  15      0         0  19 11000111101111100111011111 RHS in         ret       
40 221 204  17      0         0  20 11000111101111110111011111 LHS nebark     ninebark  
41 221 207  14      0         0  20 11000111101111110111011111 LHS ark        ben       
42 225 212  13      0         0  20 11000111101111110111011111 RHS mi         mikra     
43 237 220  17      0         0  20 11000111101111110111011111 LHS brutes     imbrutes  
44 237 223  14      0         0  20 11000111101111110111011111 LHS tes        urb       
45 243 229  14      0         0  20 11000111101111110111011111 RHS bas        basset    
46 257 239  18      0         0  20 11000111101111110111011111 LHS batical    sabbatical
47 257 241  16      0         0  20 11000111101111110111011111 LHS tical      ab        
48 257 243  14      0         0  20 11000111101111110111011111 LHS cal        it        
49 261 248  13      0         0  20 11000111101111110111011111 RHS li         lilac     
50 265 252  13      0         0  20 11000111101111110111011111 LHS ea         ilea      
51 275 259  16      0         0  20 11000111101111110111011111 RHS ligul      ligulae   
52 275 262  13      0         0  20 11000111101111110111011111 RHS li         lug       
53 285 270  15      0         0  21 11001111101111110111011111 LHS lative     illative  
54 285 272  13      0         0  21 11001111101111110111011111 LHS tive       al        
55 285 274  11      0         0  21 11001111101111110111011111 LHS ve         it        
56 287 277  10      0         0  21 11001111101111110111011111 RHS d          dev       
57 297 283  14      0         0  21 11001111101111110111011111 LHS ragon      dragon    
58 297 286  11      0         0  21 11001111101111110111011111 LHS on         gar       
59 305 292  13      0         0  21 11001111101111110111011111 RHS meri       merino    
60 305 295  10      0         0  21 11001111101111110111011111 RHS m          ire       
61 319 303  16      0         0  21 11001111101111110111011111 LHS onitory    monitory  
62 319 305  14      0         0  21 11001111101111110111011111 LHS itory      no        
63 319 307  12      0         0  21 11001111101111110111011111 LHS ory        ti        
64 321 311  10      0         0  21 11001111101111110111011111 RHS g          gyro      
65 329 316  13      0         0  21 11001111101111110111011111 LHS leed       gleed     
66 329 318  11      0         0  21 11001111101111110111011111 LHS ed         el        
67 333 322  11      0         0  21 11001111101111110111011111 RHS sa         sade      
68 345 330  15      0         0  21 11001111101111110111011111 LHS tonies     astonies  
69 345 333  12      0         0  21 11001111101111110111011111 LHS ies        not       
70 349 338  11      0         0  21 11001111101111110111011111 RHS is         issei     
71 353 342  11      0         0  21 11001111101111110111011111 LHS cs         sics      
72 367 351  16      0         0  21 11001111101111110111011111 RHS videodi    videodisc 
73 367 353  14      0         0  21 11001111101111110111011111 RHS video      id        
74 367 355  12      0         0  21 11001111101111110111011111 RHS vid        oe        
75 385 367  18      0         0  21 11001111101111110111011111 LHS ersionary  diversionary
76 385 369  16      0         0  21 11001111101111110111011111 LHS sionary    re        
77 385 371  14      0         0  21 11001111101111110111011111 LHS onary      is        
78 385 373  12      0         0  21 11001111101111110111011111 LHS ary        no        
79 387 377  10      0         0  21 11001111101111110111011111 RHS e          eyra      
80 397 383  14      0         0  21 11001111101111110111011111 LHS ngine      engine    
81 399 389  10      0         0  21 11001111101111110111011111 RHS b          benign    
82 407 394  13      0         0  21 11001111101111110111011111 LHS umps       bumps     
83 407 396  11      0         0  21 11001111101111110111011111 LHS ps         mu        
84 411 400  11      0         0  21 11001111101111110111011111 RHS ha         hasp      
85 421 407  14      0         0  21 11001111101111110111011111 LHS imsas      ahimsas   
86 421 409  12      0         0  21 11001111101111110111011111 LHS sas        mi        
87 427 415  12      0         0  21 11001111101111110111011111 RHS lys        lyssas    
88 437 423  14      0         0  21 11001111101111110111011111 LHS labub      syllabub  
89 437 428   9      0         0  21 11001111101111110111011111 NIL NIL        bubal     
90 441 431  10      0         0  22 11011111101111110111011111 LHS raw        raw       
91 441 434   7      0         0  22 11011111101111110111011111 NIL NIL        war       
92 463 444  19      0         0  22 11011111101111110111011111 LHS shovelling shovelling
93 463 447  16      0         0  22 11011111101111110111011111 LHS velling    ohs       
94 463 450  13      0         0  22 11011111101111110111011111 LHS ling       lev       
95 463 453  10      0         0  22 11011111101111110111011111 LHS g          nil       
96 479 463  16      0         0  22 11011111101111110111011111 RHS regreetin  regreeting
97 479 467  12      0         0  22 11011111101111110111011111 RHS regre      nite      
98 481 469  12      0         0  22 11011111101111110111011111 RHS reg        er        
