d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  55  10  45      0         0   8 00000011100011000100010001 LHS reanimates reanimates
 2  55  12  43      0         0   8 00000011100011000100010001 LHS animates   er        
 3  55  16  39      0         0   8 00000011100011000100010001 LHS ates       mina      
 4  57  22  35      0         0   9 00000011101011000100010001 RHS pe         peseta    
 5  65  29  36      0         0  10 00000011101111000100010001 LHS isome      episome   
 6  65  31  34      0         0  10 00000011101111000100010001 LHS ome        si        
 7  65  35  30      0         0  11 00000011101111000100011001 RHS d          demo      
 7  65  35  30      0         0  11 00000011101111000100011001 RHS d          demo      
 7  65  35  30      0         0  11 00000011101111000100011001 RHS d          demo      
 7  65  35  30      0         0  11 00000011101111000100011001 RHS d          demo      
 8  73  42  31      0         0  13 00011011101111000100011001 LHS isavow     disavow   
 9  73  44  29      0         0  13 00011011101111000100011001 LHS avow       si        
10  73  47  26      0         0  13 00011011101111000100011001 LHS w          ova       
11  81  53  28      0         0  14 00011011101111000100011011 RHS bowwo      bowwow    
12  81  55  26      0         0  14 00011011101111000100011011 RHS bow        ow        
13  81  57  24      0         0  14 00011011101111000100011011 RHS b          wo        
13  81  57  24      0         0  14 00011011101111000100011011 RHS b          wo        
14  87  62  25      0         0  15 00011011101111010100011011 LHS onks       bonks     
15  87  64  23      0         0  15 00011011101111010100011011 LHS ks         no        
16  91  68  23      0         0  15 00011011101111010100011011 RHS ta         task      
16  91  68  23      0         0  15 00011011101111010100011011 RHS ta         task      
17 103  77  26      0         0  16 00011011101111010100011111 LHS ticists    atticists 
18 103  79  24      0         0  16 00011011101111010100011111 LHS cists      it        
19 103  82  21      0         0  16 00011011101111010100011111 LHS ts         sic       
20 109  88  21      0         0  17 00011011101111010100111111 RHS fewe       fewest    
21 109  91  18      0         0  17 00011011101111010100111111 RHS f          ewe       
22 121  98  23      0         0  17 00011011101111010100111111 LHS atbird     fatbird   
23 121 100  21      0         0  17 00011011101111010100111111 LHS bird       ta        
24 121 103  18      0         0  17 00011011101111010100111111 LHS d          rib       
25 131 110  21      0         0  18 00011011101111110100111111 RHS delete     deleted   
26 131 112  19      0         0  18 00011011101111110100111111 RHS dele       et        
27 131 114  17      0         0  18 00011011101111110100111111 RHS de         el        
27 131 114  17      0         0  18 00011011101111110100111111 RHS de         el        
28 139 120  19      0         0  18 00011011101111110100111111 LHS died       eddied    
29 139 122  17      0         0  18 00011011101111110100111111 LHS ed         id        
30 151 131  20      0         0  19 00011111101111110100111111 RHS platitu    platitude 
31 151 133  18      0         0  19 00011111101111110100111111 RHS plati      ut        
32 151 135  16      0         0  19 00011111101111110100111111 RHS pla        it        
32 151 135  16      0         0  19 00011111101111110100111111 RHS pla        it        
33 153 139  14      0         0  19 00011111101111110100111111 LHS s          alps      
33 153 139  14      0         0  19 00011111101111110100111111 LHS s          alps      
34 165 147  18      0         0  20 10011111101111110100111111 RHS denizen    denizens  
35 165 149  16      0         0  20 10011111101111110100111111 RHS deniz      ne        
36 165 152  13      0         0  20 10011111101111110100111111 RHS de         zin       
36 165 152  13      0         0  20 10011111101111110100111111 RHS de         zin       
36 165 152  13      0         0  20 10011111101111110100111111 RHS de         zin       
37 173 158  15      0         0  20 10011111101111110100111111 LHS enic       edenic    
38 179 165  14      0         0  20 10011111101111110100111111 RHS cro        crocine   
39 193 177  16      0         0  22 11011111101111110110111111 LHS hestrally  orchestrally
40 193 179  14      0         0  22 11011111101111110110111111 LHS strally    eh        
41 193 183  10      0         0  22 11011111101111110110111111 LHS lly        arts      
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
42 197 188   9      0         0  22 11011111101111110110111111 RHS id         idyll     
